Measure Names,Port Name,State,Year,Port Code,Measure Values
Domestic,Cincinnati-Northern,Ohio,2018,I2338,"38,534,187"
Foreign Total,Cincinnati-Northern,Ohio,2018,I2338,
Exports,Cincinnati-Northern,Ohio,2018,I2338,
Imports,Cincinnati-Northern,Ohio,2018,I2338,
Total (tons),Cincinnati-Northern,Ohio,2019,I2338,"36,560,095"
Domestic,Cincinnati-Northern,Ohio,2019,I2338,"36,560,095"
Foreign Total,Cincinnati-Northern,Ohio,2019,I2338,
Exports,Cincinnati-Northern,Ohio,2019,I2338,
Imports,Cincinnati-Northern,Ohio,2019,I2338,
Total (tons),Cincinnati-Northern,Ohio,2020,I2338,"34,476,340"
Domestic,Cincinnati-Northern,Ohio,2020,I2338,"34,476,340"
Foreign Total,Cincinnati-Northern,Ohio,2020,I2338,
Exports,Cincinnati-Northern,Ohio,2020,I2338,
Imports,Cincinnati-Northern,Ohio,2020,I2338,
Total (tons),Cincinnati-Northern KY,Kentucky,2020,I2338,"34,476,340"
Domestic,Cincinnati-Northern KY,Kentucky,2020,I2338,"34,476,340"
Foreign Total,Cincinnati-Northern KY,Kentucky,2020,I2338,0
Exports,Cincinnati-Northern KY,Kentucky,2020,I2338,0
Imports,Cincinnati-Northern KY,Kentucky,2020,I2338,0
Total (tons),Clark Township,Michigan,2020,L3627,"2,224,824"
Domestic,Clark Township,Michigan,2020,L3627,"2,138,844"
Foreign Total,Clark Township,Michigan,2020,L3627,"85,980"
Exports,Clark Township,Michigan,2020,L3627,"48,501"
Imports,Clark Township,Michigan,2020,L3627,"37,479"
Total (tons),Clark Township,Michigan,2022,L3627,"2,751,495"
Domestic,Clark Township,Michigan,2022,L3627,"2,639,835"
Foreign Total,Clark Township,Michigan,2022,L3627,"111,660"
Exports,Clark Township,Michigan,2022,L3627,"71,384"
Imports,Clark Township,Michigan,2022,L3627,"40,276"
Total (tons),Cleveland,Ohio,2010,L3217,"10,791,326"
Domestic,Cleveland,Ohio,2010,L3217,"9,218,274"
Foreign Total,Cleveland,Ohio,2010,L3217,"1,573,052"
Exports,Cleveland,Ohio,2010,L3217,"63,622"
Imports,Cleveland,Ohio,2010,L3217,"1,509,430"
Total (tons),Cleveland,Ohio,2017,L3217,"13,314,224"
Domestic,Cleveland,Ohio,2017,L3217,"11,490,876"
Foreign Total,Cleveland,Ohio,2017,L3217,"1,823,348"
Exports,Cleveland,Ohio,2017,L3217,"466,928"
Imports,Cleveland,Ohio,2017,L3217,"1,356,420"
Total (tons),Cleveland,Ohio,2018,L3217,"11,778,910"
Domestic,Cleveland,Ohio,2018,L3217,"10,115,634"
Foreign Total,Cleveland,Ohio,2018,L3217,"1,663,276"
Exports,Cleveland,Ohio,2018,L3217,"21,475"
Imports,Cleveland,Ohio,2018,L3217,"1,641,801"
Total (tons),Cleveland,Ohio,2019,L3217,"11,880,935"
Domestic,Cleveland,Ohio,2019,L3217,"10,130,928"
Foreign Total,Cleveland,Ohio,2019,L3217,"1,750,007"
Exports,Cleveland,Ohio,2019,L3217,"65,036"
Imports,Cleveland,Ohio,2019,L3217,"1,684,971"
Total (tons),Cleveland,Ohio,2020,L3217,"9,442,739"
Domestic,Cleveland,Ohio,2020,L3217,"7,655,827"
Foreign Total,Cleveland,Ohio,2020,L3217,"1,786,912"
Exports,Cleveland,Ohio,2020,L3217,"427,518"
Imports,Cleveland,Ohio,2020,L3217,"1,359,394"
Total (tons),Cleveland,Ohio,2021,L3217,"12,386,921"
Domestic,Cleveland,Ohio,2021,L3217,"10,344,319"
Foreign Total,Cleveland,Ohio,2021,L3217,"2,042,602"
Exports,Cleveland,Ohio,2021,L3217,"466,508"
Imports,Cleveland,Ohio,2021,L3217,"1,576,094"
Total (tons),Cleveland-Cuyahoga Port,Ohio,2020,L3217,"9,442,739"
Domestic,Cleveland-Cuyahoga Port,Ohio,2020,L3217,"7,655,827"
Foreign Total,Cleveland-Cuyahoga Port,Ohio,2020,L3217,"1,786,912"
Exports,Cleveland-Cuyahoga Port,Ohio,2020,L3217,"427,518"
Imports,Cleveland-Cuyahoga Port,Ohio,2020,L3217,"1,359,394"
Total (tons),Cleveland-Cuyahoga Port,Ohio,2022,L3217,"9,239,412"
Domestic,Cleveland-Cuyahoga Port,Ohio,2022,L3217,"7,825,195"
Foreign Total,Cleveland-Cuyahoga Port,Ohio,2022,L3217,"1,414,217"
Exports,Cleveland-Cuyahoga Port,Ohio,2022,L3217,"199,326"
Imports,Cleveland-Cuyahoga Port,Ohio,2022,L3217,"1,214,891"
Total (tons),Conneaut,Ohio,2010,L3220,"3,558,487"
Domestic,Conneaut,Ohio,2010,L3220,"3,415,307"
Foreign Total,Conneaut,Ohio,2010,L3220,"143,180"
Exports,Conneaut,Ohio,2010,L3220,
Imports,Conneaut,Ohio,2010,L3220,"143,180"
Total (tons),Conneaut,Ohio,2017,L3220,"3,733,621"
Domestic,Conneaut,Ohio,2017,L3220,"3,665,247"
Foreign Total,Conneaut,Ohio,2017,L3220,"68,374"
Exports,Conneaut,Ohio,2017,L3220,
Imports,Conneaut,Ohio,2017,L3220,"68,374"
Total (tons),Conneaut,Ohio,2018,L3220,"3,487,058"
Domestic,Conneaut,Ohio,2018,L3220,"3,457,296"
Foreign Total,Conneaut,Ohio,2018,L3220,"29,762"
Exports,Conneaut,Ohio,2018,L3220,
Imports,Conneaut,Ohio,2018,L3220,"29,762"
Total (tons),Conneaut,Ohio,2019,L3220,"3,936,713"
Domestic,Conneaut,Ohio,2019,L3220,"3,766,935"
Foreign Total,Conneaut,Ohio,2019,L3220,"169,778"
Exports,Conneaut,Ohio,2019,L3220,
Imports,Conneaut,Ohio,2019,L3220,"169,778"
Total (tons),Conneaut,Ohio,2020,L3220,"14,778,178"
Domestic,Conneaut,Ohio,2020,L3220,"10,672,278"
Foreign Total,Conneaut,Ohio,2020,L3220,"4,105,900"
Exports,Conneaut,Ohio,2020,L3220,"3,853,386"
Imports,Conneaut,Ohio,2020,L3220,"252,514"
Total (tons),Conneaut,Ohio,2021,L3220,"4,251,340"
Domestic,Conneaut,Ohio,2021,L3220,"4,155,993"
Foreign Total,Conneaut,Ohio,2021,L3220,"95,347"
Exports,Conneaut,Ohio,2021,L3220,0
Imports,Conneaut,Ohio,2021,L3220,"95,347"
Total (tons),Conneaut,Ohio,2022,L3220,"2,916,594"
Domestic,Conneaut,Ohio,2022,L3220,"2,806,806"
Foreign Total,Conneaut,Ohio,2022,L3220,"109,788"
Exports,Conneaut,Ohio,2022,L3220,"66,798"
Imports,Conneaut,Ohio,2022,L3220,"42,990"
Total (tons),Coos Bay,Oregon,2010,C4660,"1,586,404"
Domestic,Coos Bay,Oregon,2010,C4660,"150,059"
Foreign Total,Coos Bay,Oregon,2010,C4660,"1,436,345"
Exports,Coos Bay,Oregon,2010,C4660,"1,409,295"
Imports,Coos Bay,Oregon,2010,C4660,"27,050"
Total (tons),Coos Bay,Oregon,2017,C4660,"2,108,362"
Domestic,Coos Bay,Oregon,2017,C4660,"58,054"
Foreign Total,Coos Bay,Oregon,2017,C4660,"2,050,308"
Exports,Coos Bay,Oregon,2017,C4660,"1,863,988"
Imports,Coos Bay,Oregon,2017,C4660,"186,320"
Total (tons),Coos Bay,Oregon,2018,C4660,"2,344,508"
Domestic,Coos Bay,Oregon,2018,C4660,"55,093"
Foreign Total,Coos Bay,Oregon,2018,C4660,"2,289,415"
Exports,Coos Bay,Oregon,2018,C4660,"2,071,465"
Imports,Coos Bay,Oregon,2018,C4660,"217,950"
Total (tons),Coos Bay,Oregon,2019,C4660,"2,069,200"
Domestic,Coos Bay,Oregon,2019,C4660,"23,726"
Foreign Total,Coos Bay,Oregon,2019,C4660,"2,045,474"
Exports,Coos Bay,Oregon,2019,C4660,"1,795,640"
Imports,Coos Bay,Oregon,2019,C4660,"249,834"
Total (tons),Coos Bay,Oregon,2020,C4660,"3,671,048"
Domestic,Coos Bay,Oregon,2020,C4660,"85,658"
Foreign Total,Coos Bay,Oregon,2020,C4660,"3,585,390"
Exports,Coos Bay,Oregon,2020,C4660,"3,216,104"
Imports,Coos Bay,Oregon,2020,C4660,"369,286"
Total (tons),Coos Bay,Oregon,2021,C4660,"2,542,730"
Domestic,Coos Bay,Oregon,2021,C4660,"42,066"
Foreign Total,Coos Bay,Oregon,2021,C4660,"2,500,664"
Exports,Coos Bay,Oregon,2021,C4660,"2,147,725"
Imports,Coos Bay,Oregon,2021,C4660,"352,939"
Total (tons),Corpus Christi,Texas,2010,C2423,"73,663,432"
Domestic,Corpus Christi,Texas,2010,C2423,"18,840,615"
Foreign Total,Corpus Christi,Texas,2010,C2423,"54,822,817"
Exports,Corpus Christi,Texas,2010,C2423,"13,167,828"
Imports,Corpus Christi,Texas,2010,C2423,"41,654,989"
Total (tons),Corpus Christi,Texas,2017,C2423,"87,322,735"
Domestic,Corpus Christi,Texas,2017,C2423,"27,074,408"
Foreign Total,Corpus Christi,Texas,2017,C2423,"60,248,327"
Exports,Corpus Christi,Texas,2017,C2423,"38,023,322"
Imports,Corpus Christi,Texas,2017,C2423,"22,225,005"
Total (tons),Corpus Christi,Texas,2018,C2423,"93,468,323"
Domestic,Corpus Christi,Texas,2018,C2423,"24,243,731"
Foreign Total,Corpus Christi,Texas,2018,C2423,"69,224,592"
Exports,Corpus Christi,Texas,2018,C2423,"47,506,022"
Imports,Corpus Christi,Texas,2018,C2423,"21,718,570"
Total (tons),Corpus Christi,Texas,2019,C2423,"111,223,976"
Domestic,Corpus Christi,Texas,2019,C2423,"25,784,719"
Foreign Total,Corpus Christi,Texas,2019,C2423,"85,439,257"
Exports,Corpus Christi,Texas,2019,C2423,"66,757,003"
Imports,Corpus Christi,Texas,2019,C2423,"18,682,254"
Total (tons),Corpus Christi,Texas,2020,C2423,"301,510,970"
Domestic,Corpus Christi,Texas,2020,C2423,"50,112,614"
Foreign Total,Corpus Christi,Texas,2020,C2423,"251,398,356"
Exports,Corpus Christi,Texas,2020,C2423,"216,186,184"
Imports,Corpus Christi,Texas,2020,C2423,"35,212,172"
Total (tons),Corpus Christi,Texas,2021,C2423,"164,448,393"
Domestic,Corpus Christi,Texas,2021,C2423,"22,612,378"
Foreign Total,Corpus Christi,Texas,2021,C2423,"141,836,015"
Exports,Corpus Christi,Texas,2021,C2423,"126,406,974"
Imports,Corpus Christi,Texas,2021,C2423,"15,429,041"
Total (tons),Corpus Christi,Texas,2022,C2423,"174,327,410"
Domestic,Corpus Christi,Texas,2022,C2423,"25,709,786"
Foreign Total,Corpus Christi,Texas,2022,C2423,"148,617,624"
Exports,Corpus Christi,Texas,2022,C2423,"131,402,769"
Imports,Corpus Christi,Texas,2022,C2423,"17,214,855"
Total (tons),Detroit,Michigan,2010,L3321,"13,406,493"
Domestic,Detroit,Michigan,2010,L3321,"10,792,960"
Foreign Total,Detroit,Michigan,2010,L3321,"2,613,533"
Exports,Detroit,Michigan,2010,L3321,"199,567"
Imports,Detroit,Michigan,2010,L3321,"2,413,966"
Total (tons),Detroit,Michigan,2017,L3321,"13,953,184"
Domestic,Detroit,Michigan,2017,L3321,"11,058,276"
Foreign Total,Detroit,Michigan,2017,L3321,"2,894,908"
Exports,Detroit,Michigan,2017,L3321,"110,684"
Imports,Detroit,Michigan,2017,L3321,"2,784,224"
Total (tons),Detroit,Michigan,2018,L3321,"14,837,762"
Domestic,Detroit,Michigan,2018,L3321,"11,510,379"
Foreign Total,Detroit,Michigan,2018,L3321,"3,327,383"
Exports,Detroit,Michigan,2018,L3321,"29,771"
Imports,Detroit,Michigan,2018,L3321,"3,297,612"
Total (tons),Detroit,Michigan,2019,L3321,"13,306,628"
Domestic,Detroit,Michigan,2019,L3321,"10,264,935"
Foreign Total,Detroit,Michigan,2019,L3321,"3,041,693"
Exports,Detroit,Michigan,2019,L3321,"22,088"
Imports,Detroit,Michigan,2019,L3321,"3,019,605"
Total (tons),Detroit,Michigan,2020,L3321,"8,197,428"
Domestic,Detroit,Michigan,2020,L3321,"5,748,026"
Foreign Total,Detroit,Michigan,2020,L3321,"2,449,402"
Exports,Detroit,Michigan,2020,L3321,"11,023"
Imports,Detroit,Michigan,2020,L3321,"2,438,379"
Total (tons),Detroit,Michigan,2021,L3321,"9,698,313"
Domestic,Detroit,Michigan,2021,L3321,"7,304,111"
Foreign Total,Detroit,Michigan,2021,L3321,"2,394,202"
Exports,Detroit,Michigan,2021,L3321,"103,360"
Imports,Detroit,Michigan,2021,L3321,"2,290,842"
Total (tons),Detroit-Wayne County Port,Michigan,2020,L3321,"8,197,428"
Domestic,Detroit-Wayne County Port,Michigan,2020,L3321,"5,748,026"
Foreign Total,Detroit-Wayne County Port,Michigan,2020,L3321,"2,449,402"
Exports,Detroit-Wayne County Port,Michigan,2020,L3321,"11,023"
Imports,Detroit-Wayne County Port,Michigan,2020,L3321,"2,438,379"
Total (tons),Detroit-Wayne County Port,Michigan,2022,L3321,"9,058,895"
Domestic,Detroit-Wayne County Port,Michigan,2022,L3321,"6,684,411"
Foreign Total,Detroit-Wayne County Port,Michigan,2022,L3321,"2,374,484"
Exports,Detroit-Wayne County Port,Michigan,2022,L3321,"79,517"
Imports,Detroit-Wayne County Port,Michigan,2022,L3321,"2,294,967"
Total (tons),Drummond Island,Michigan,2010,L3813,"1,069,169"
Domestic,Drummond Island,Michigan,2010,L3813,"795,246"
Foreign Total,Drummond Island,Michigan,2010,L3813,"273,923"
Exports,Drummond Island,Michigan,2010,L3813,"273,923"
Imports,Drummond Island,Michigan,2010,L3813,
Total (tons),Drummond Island,Michigan,2017,L3813,"1,116,179"
Domestic,Drummond Island,Michigan,2017,L3813,"793,580"
Foreign Total,Drummond Island,Michigan,2017,L3813,"322,599"
Exports,Drummond Island,Michigan,2017,L3813,"322,599"
Imports,Drummond Island,Michigan,2017,L3813,
Total (tons),Drummond Island,Michigan,2018,L3813,"1,260,854"
Domestic,Drummond Island,Michigan,2018,L3813,"945,945"
Foreign Total,Drummond Island,Michigan,2018,L3813,"314,909"
Exports,Drummond Island,Michigan,2018,L3813,"284,327"
Imports,Drummond Island,Michigan,2018,L3813,"30,582"
Total (tons),Drummond Island,Michigan,2019,L3813,"1,506,871"
Domestic,Drummond Island,Michigan,2019,L3813,"1,088,347"
Foreign Total,Drummond Island,Michigan,2019,L3813,"418,524"
Exports,Drummond Island,Michigan,2019,L3813,"418,524"
Imports,Drummond Island,Michigan,2019,L3813,
Total (tons),Drummond Island,Michigan,2020,L3813,"2,070,490"
Domestic,Drummond Island,Michigan,2020,L3813,"1,804,074"
Foreign Total,Drummond Island,Michigan,2020,L3813,"266,416"
Exports,Drummond Island,Michigan,2020,L3813,"169,756"
Imports,Drummond Island,Michigan,2020,L3813,"96,660"
Total (tons),Duluth-Superior,Minnesota,2010,L3924,"36,598,247"
Domestic,Duluth-Superior,Minnesota,2010,L3924,"26,936,111"
Foreign Total,Duluth-Superior,Minnesota,2010,L3924,"9,662,136"
Exports,Duluth-Superior,Minnesota,2010,L3924,"9,330,806"
Imports,Duluth-Superior,Minnesota,2010,L3924,"331,330"
Total (tons),Duluth-Superior,Minnesota,2017,L3924,"34,783,190"
Domestic,Duluth-Superior,Minnesota,2017,L3924,"26,304,943"
Foreign Total,Duluth-Superior,Minnesota,2017,L3924,"8,478,247"
Exports,Duluth-Superior,Minnesota,2017,L3924,"7,882,751"
Imports,Duluth-Superior,Minnesota,2017,L3924,"595,496"
Total (tons),Duluth-Superior,Minnesota,2018,L3924,"35,102,200"
Domestic,Duluth-Superior,Minnesota,2018,L3924,"26,785,319"
Foreign Total,Duluth-Superior,Minnesota,2018,L3924,"8,316,881"
Exports,Duluth-Superior,Minnesota,2018,L3924,"7,704,204"
Imports,Duluth-Superior,Minnesota,2018,L3924,"612,677"
Total (tons),Duluth-Superior,Minnesota,2019,L3924,"33,738,834"
Domestic,Duluth-Superior,Minnesota,2019,L3924,"26,385,136"
Foreign Total,Duluth-Superior,Minnesota,2019,L3924,"7,353,698"
Exports,Duluth-Superior,Minnesota,2019,L3924,"6,395,247"
Imports,Duluth-Superior,Minnesota,2019,L3924,"958,451"
Total (tons),Duluth-Superior,Minnesota,2020,L3924,"50,142,220"
Domestic,Duluth-Superior,Minnesota,2020,L3924,"38,726,476"
Foreign Total,Duluth-Superior,Minnesota,2020,L3924,"11,415,744"
Exports,Duluth-Superior,Minnesota,2020,L3924,"10,030,192"
Imports,Duluth-Superior,Minnesota,2020,L3924,"1,385,552"
Total (tons),Duluth-Superior,Minnesota,2022,L3924,"29,632,165"
Domestic,Duluth-Superior,Minnesota,2022,L3924,"22,867,844"
Foreign Total,Duluth-Superior,Minnesota,2022,L3924,"6,764,321"
Exports,Duluth-Superior,Minnesota,2022,L3924,"5,877,932"
Imports,Duluth-Superior,Minnesota,2022,L3924,"886,389"
Total (tons),Duluth-Superior,Wisconsin,2010,L3924,"36,598,247"
Domestic,Duluth-Superior,Wisconsin,2010,L3924,"26,936,111"
Foreign Total,Duluth-Superior,Wisconsin,2010,L3924,"9,662,136"
Exports,Duluth-Superior,Wisconsin,2010,L3924,"9,330,806"
Imports,Duluth-Superior,Wisconsin,2010,L3924,"331,330"
Total (tons),Duluth-Superior,Wisconsin,2017,L3924,"34,783,190"
Domestic,Duluth-Superior,Wisconsin,2017,L3924,"26,304,943"
Foreign Total,Duluth-Superior,Wisconsin,2017,L3924,"8,478,247"
Exports,Duluth-Superior,Wisconsin,2017,L3924,"7,882,751"
Imports,Duluth-Superior,Wisconsin,2017,L3924,"595,496"
Total (tons),Duluth-Superior,Wisconsin,2018,L3924,"35,102,200"
Domestic,Duluth-Superior,Wisconsin,2018,L3924,"26,785,319"
Foreign Total,Duluth-Superior,Wisconsin,2018,L3924,"8,316,881"
Exports,Duluth-Superior,Wisconsin,2018,L3924,"7,704,204"
Imports,Duluth-Superior,Wisconsin,2018,L3924,"612,677"
Total (tons),Duluth-Superior,Wisconsin,2019,L3924,"33,738,834"
Domestic,Duluth-Superior,Wisconsin,2019,L3924,"26,385,136"
Foreign Total,Duluth-Superior,Wisconsin,2019,L3924,"7,353,698"
Exports,Duluth-Superior,Wisconsin,2019,L3924,"6,395,247"
Imports,Duluth-Superior,Wisconsin,2019,L3924,"958,451"
Total (tons),Duluth-Superior,Wisconsin,2020,L3924,"25,071,110"
Domestic,Duluth-Superior,Wisconsin,2020,L3924,"19,363,238"
Foreign Total,Duluth-Superior,Wisconsin,2020,L3924,"5,707,872"
Exports,Duluth-Superior,Wisconsin,2020,L3924,"5,015,096"
Imports,Duluth-Superior,Wisconsin,2020,L3924,"692,776"
Total (tons),Duluth-Superior,Wisconsin,2021,L3924,"32,462,993"
Domestic,Duluth-Superior,Wisconsin,2021,L3924,"25,934,838"
Foreign Total,Duluth-Superior,Wisconsin,2021,L3924,"6,528,155"
Exports,Duluth-Superior,Wisconsin,2021,L3924,"5,914,979"
Imports,Duluth-Superior,Wisconsin,2021,L3924,"613,176"
Total (tons),E Iowa and W Illinois,Illinois,2019,,"4,951,302"
Domestic,E Iowa and W Illinois,Illinois,2019,,"4,951,302"
Foreign Total,E Iowa and W Illinois,Illinois,2019,,
Exports,E Iowa and W Illinois,Illinois,2019,,
Imports,E Iowa and W Illinois,Illinois,2019,,
Total (tons),E Iowa and W Illinois,Illinois,2020,,"8,352,916"
Domestic,E Iowa and W Illinois,Illinois,2020,,"8,352,916"
Foreign Total,E Iowa and W Illinois,Illinois,2020,,
Exports,E Iowa and W Illinois,Illinois,2020,,
Imports,E Iowa and W Illinois,Illinois,2020,,
Total (tons),E Iowa and W Illinois,Iowa,2019,,"4,951,302"
Domestic,E Iowa and W Illinois,Iowa,2019,,"4,951,302"
Foreign Total,E Iowa and W Illinois,Iowa,2019,,
Exports,E Iowa and W Illinois,Iowa,2019,,
Imports,E Iowa and W Illinois,Iowa,2019,,
Total (tons),E Iowa and W Illinois,Iowa,2020,,"16,705,832"
Domestic,E Iowa and W Illinois,Iowa,2020,,"16,705,832"
Foreign Total,E Iowa and W Illinois,Iowa,2020,,0
Exports,E Iowa and W Illinois,Iowa,2020,,0
Imports,E Iowa and W Illinois,Iowa,2020,,0
Total (tons),Elvis Stahr Harbor,Kentucky,2010,I2298,"1,048,522"
Domestic,Elvis Stahr Harbor,Kentucky,2010,I2298,"1,048,522"
Foreign Total,Elvis Stahr Harbor,Kentucky,2010,I2298,
Exports,Elvis Stahr Harbor,Kentucky,2010,I2298,
Imports,Elvis Stahr Harbor,Kentucky,2010,I2298,
Total (tons),Escanaba,Michigan,2010,L3795,"4,735,674"
Domestic,Escanaba,Michigan,2010,L3795,"4,524,033"
Foreign Total,Escanaba,Michigan,2010,L3795,"211,641"
Exports,Escanaba,Michigan,2010,L3795,"165,404"
Imports,Escanaba,Michigan,2010,L3795,"46,237"
Total (tons),Escanaba,Michigan,2017,L3795,"1,175,587"
Domestic,Escanaba,Michigan,2017,L3795,"1,098,282"
Foreign Total,Escanaba,Michigan,2017,L3795,"77,305"
Exports,Escanaba,Michigan,2017,L3795,"56,899"
Imports,Escanaba,Michigan,2017,L3795,"20,406"
Total (tons),Everett,Washington,2010,C4725,"1,379,817"
Domestic,Everett,Washington,2010,C4725,"910,298"
Foreign Total,Everett,Washington,2010,C4725,"469,519"
Exports,Everett,Washington,2010,C4725,"268,151"
Imports,Everett,Washington,2010,C4725,"201,368"
Total (tons),Everett,Washington,2017,C4725,"1,590,855"
Domestic,Everett,Washington,2017,C4725,"1,065,174"
Foreign Total,Everett,Washington,2017,C4725,"525,681"
Exports,Everett,Washington,2017,C4725,"240,886"
Imports,Everett,Washington,2017,C4725,"284,795"
Total (tons),Everett,Washington,2018,C4725,"838,014"
Domestic,Everett,Washington,2018,C4725,"607,640"
Foreign Total,Everett,Washington,2018,C4725,"230,374"
Exports,Everett,Washington,2018,C4725,"70,566"
Imports,Everett,Washington,2018,C4725,"159,808"
Total (tons),Everett,Washington,2020,C4725,"1,283,594"
Domestic,Everett,Washington,2020,C4725,"1,001,492"
Foreign Total,Everett,Washington,2020,C4725,"282,102"
Exports,Everett,Washington,2020,C4725,"32,087"
Imports,Everett,Washington,2020,C4725,"250,015"
Total (tons),Everett,Washington,2021,C4725,"1,669,008"
Domestic,Everett,Washington,2021,C4725,"843,268"
Foreign Total,Everett,Washington,2021,C4725,"825,740"
Exports,Everett,Washington,2021,C4725,"215,577"
Imports,Everett,Washington,2021,C4725,"610,163"
Total (tons),"Everett, WA",Washington,2020,,"1,283,594"
Domestic,"Everett, WA",Washington,2020,,"1,001,492"
Foreign Total,"Everett, WA",Washington,2020,,"282,102"
Exports,"Everett, WA",Washington,2020,,"32,087"
Imports,"Everett, WA",Washington,2020,,"250,015"
Total (tons),Fairport Harbor,Ohio,2010,L3218,"1,498,425"
Domestic,Fairport Harbor,Ohio,2010,L3218,"1,231,809"
Foreign Total,Fairport Harbor,Ohio,2010,L3218,"266,616"
Exports,Fairport Harbor,Ohio,2010,L3218,"74,538"
Imports,Fairport Harbor,Ohio,2010,L3218,"192,078"
Total (tons),Fairport Harbor,Ohio,2017,L3218,"1,534,039"
Domestic,Fairport Harbor,Ohio,2017,L3218,"1,285,044"
Foreign Total,Fairport Harbor,Ohio,2017,L3218,"248,995"
Exports,Fairport Harbor,Ohio,2017,L3218,"181,862"
Imports,Fairport Harbor,Ohio,2017,L3218,"67,133"
Total (tons),Fairport Harbor,Ohio,2018,L3218,"1,957,879"
Domestic,Fairport Harbor,Ohio,2018,L3218,"1,894,528"
Foreign Total,Fairport Harbor,Ohio,2018,L3218,"63,351"
Exports,Fairport Harbor,Ohio,2018,L3218,
Imports,Fairport Harbor,Ohio,2018,L3218,"63,351"
Total (tons),Fairport Harbor,Ohio,2019,L3218,"1,872,276"
Domestic,Fairport Harbor,Ohio,2019,L3218,"1,713,106"
Foreign Total,Fairport Harbor,Ohio,2019,L3218,"159,170"
Exports,Fairport Harbor,Ohio,2019,L3218,"99,869"
Imports,Fairport Harbor,Ohio,2019,L3218,"59,301"
Total (tons),Fairport Harbor,Ohio,2020,L3218,"926,834"
Domestic,Fairport Harbor,Ohio,2020,L3218,"568,627"
Foreign Total,Fairport Harbor,Ohio,2020,L3218,"358,207"
Exports,Fairport Harbor,Ohio,2020,L3218,"153,223"
Imports,Fairport Harbor,Ohio,2020,L3218,"204,984"
Total (tons),Fall River,Massachusetts,2010,C0189,"2,517,059"
Domestic,Fall River,Massachusetts,2010,C0189,"1,924,404"
Foreign Total,Fall River,Massachusetts,2010,C0189,"592,655"
Exports,Fall River,Massachusetts,2010,C0189,
Imports,Fall River,Massachusetts,2010,C0189,"592,655"
Total (tons),Fernandina Beach,Florida,2010,,"734,130"
Domestic,Fernandina Beach,Florida,2010,,"144,359"
Foreign Total,Fernandina Beach,Florida,2010,,"589,771"
Exports,Fernandina Beach,Florida,2010,,"575,021"
Imports,Fernandina Beach,Florida,2010,,"14,750"
Total (tons),Fort Smith,Arkansas,2018,,"788,939"
Domestic,Fort Smith,Arkansas,2018,,"788,939"
Foreign Total,Fort Smith,Arkansas,2018,,
Exports,Fort Smith,Arkansas,2018,,
Imports,Fort Smith,Arkansas,2018,,
Total (tons),Freeport,Texas,2010,C2408,"26,675,842"
Domestic,Freeport,Texas,2010,C2408,"4,347,395"
Foreign Total,Freeport,Texas,2010,C2408,"22,328,447"
Exports,Freeport,Texas,2010,C2408,"2,244,628"
Imports,Freeport,Texas,2010,C2408,"20,083,819"
Total (tons),Freeport,Texas,2017,C2408,"24,484,399"
Domestic,Freeport,Texas,2017,C2408,"5,129,255"
Foreign Total,Freeport,Texas,2017,C2408,"19,355,144"
Exports,Freeport,Texas,2017,C2408,"10,184,264"
Imports,Freeport,Texas,2017,C2408,"9,170,880"
Total (tons),Freeport,Texas,2018,C2408,"25,446,078"
Domestic,Freeport,Texas,2018,C2408,"4,547,290"
Foreign Total,Freeport,Texas,2018,C2408,"20,898,788"
Exports,Freeport,Texas,2018,C2408,"12,894,409"
Imports,Freeport,Texas,2018,C2408,"8,004,379"
Total (tons),Freeport,Texas,2019,C2408,"29,844,416"
Domestic,Freeport,Texas,2019,C2408,"3,872,797"
Foreign Total,Freeport,Texas,2019,C2408,"25,971,619"
Exports,Freeport,Texas,2019,C2408,"18,881,422"
Imports,Freeport,Texas,2019,C2408,"7,090,197"
Total (tons),Freeport,Texas,2020,C2408,"38,748,662"
Domestic,Freeport,Texas,2020,C2408,"4,171,925"
Foreign Total,Freeport,Texas,2020,C2408,"34,576,737"
Exports,Freeport,Texas,2020,C2408,"28,016,360"
Imports,Freeport,Texas,2020,C2408,"6,560,377"
Total (tons),Freeport,Texas,2021,C2408,"42,243,269"
Domestic,Freeport,Texas,2021,C2408,"4,781,243"
Foreign Total,Freeport,Texas,2021,C2408,"37,462,026"
Exports,Freeport,Texas,2021,C2408,"32,707,850"
Imports,Freeport,Texas,2021,C2408,"4,754,176"
Total (tons),Galveston,Texas,2010,C2417,"13,948,896"
Domestic,Galveston,Texas,2010,C2417,"5,934,427"
Foreign Total,Galveston,Texas,2010,C2417,"8,014,469"
Exports,Galveston,Texas,2010,C2417,"6,136,966"
Imports,Galveston,Texas,2010,C2417,"1,877,503"
Total (tons),Galveston,Texas,2017,C2417,"7,836,405"
Domestic,Galveston,Texas,2017,C2417,"4,027,981"
Foreign Total,Galveston,Texas,2017,C2417,"3,808,424"
Exports,Galveston,Texas,2017,C2417,"2,257,329"
Imports,Galveston,Texas,2017,C2417,"1,551,095"
Total (tons),Galveston,Texas,2018,C2417,"9,111,500"
Domestic,Galveston,Texas,2018,C2417,"4,391,147"
Foreign Total,Galveston,Texas,2018,C2417,"4,720,353"
Exports,Galveston,Texas,2018,C2417,"2,666,071"
Imports,Galveston,Texas,2018,C2417,"2,054,282"
Total (tons),Galveston,Texas,2019,C2417,"10,958,425"
