Measure Names,Port Name,State,Year,Port Code,Measure Values
Exports,,Wyoming,2019,,0
Imports,,Wyoming,2019,,0
Total (tons),,Wyoming,2020,,0
Domestic,,Wyoming,2020,,0
Foreign Total,,Wyoming,2020,,0
Exports,,Wyoming,2020,,0
Imports,,Wyoming,2020,,0
Total (tons),Albany,New York,2010,C0505,"6,810,017"
Domestic,Albany,New York,2010,C0505,"5,721,480"
Foreign Total,Albany,New York,2010,C0505,"1,088,537"
Exports,Albany,New York,2010,C0505,"615,568"
Imports,Albany,New York,2010,C0505,"472,969"
Total (tons),Albany,New York,2017,C0505,"6,009,212"
Domestic,Albany,New York,2017,C0505,"5,315,301"
Foreign Total,Albany,New York,2017,C0505,"693,911"
Exports,Albany,New York,2017,C0505,"245,701"
Imports,Albany,New York,2017,C0505,"448,210"
Total (tons),Albany,New York,2018,C0505,"5,712,209"
Domestic,Albany,New York,2018,C0505,"4,770,128"
Foreign Total,Albany,New York,2018,C0505,"942,081"
Exports,Albany,New York,2018,C0505,"260,798"
Imports,Albany,New York,2018,C0505,"681,283"
Total (tons),Albany,New York,2019,C0505,"5,003,533"
Domestic,Albany,New York,2019,C0505,"4,257,837"
Foreign Total,Albany,New York,2019,C0505,"745,696"
Exports,Albany,New York,2019,C0505,"149,253"
Imports,Albany,New York,2019,C0505,"596,443"
Total (tons),Albany,New York,2020,C0505,"4,577,369"
Domestic,Albany,New York,2020,C0505,"3,493,865"
Foreign Total,Albany,New York,2020,C0505,"1,083,504"
Exports,Albany,New York,2020,C0505,"161,752"
Imports,Albany,New York,2020,C0505,"921,752"
Total (tons),Albany,New York,2021,C0505,"4,577,888"
Domestic,Albany,New York,2021,C0505,"4,049,958"
Foreign Total,Albany,New York,2021,C0505,"527,930"
Exports,Albany,New York,2021,C0505,"106,511"
Imports,Albany,New York,2021,C0505,"421,419"
Total (tons),Albany Port District,New York,2020,C0505,"4,577,369"
Domestic,Albany Port District,New York,2020,C0505,"3,493,865"
Foreign Total,Albany Port District,New York,2020,C0505,"1,083,504"
Exports,Albany Port District,New York,2020,C0505,"161,752"
Imports,Albany Port District,New York,2020,C0505,"921,752"
Total (tons),Albany Port District,New York,2022,C0505,"4,706,700"
Domestic,Albany Port District,New York,2022,C0505,"3,969,950"
Foreign Total,Albany Port District,New York,2022,C0505,"736,750"
Exports,Albany Port District,New York,2022,C0505,"370,012"
Imports,Albany Port District,New York,2022,C0505,"366,738"
Total (tons),Alexander-Cairo Port,Illinois,2020,,"1,535,493"
Domestic,Alexander-Cairo Port,Illinois,2020,,"1,535,493"
Foreign Total,Alexander-Cairo Port,Illinois,2020,,
Exports,Alexander-Cairo Port,Illinois,2020,,
Imports,Alexander-Cairo Port,Illinois,2020,,
Total (tons),Alexander-Cairo Port,Illinois,2021,,"1,168,613"
Domestic,Alexander-Cairo Port,Illinois,2021,,"1,168,613"
Foreign Total,Alexander-Cairo Port,Illinois,2021,,0
Exports,Alexander-Cairo Port,Illinois,2021,,0
Imports,Alexander-Cairo Port,Illinois,2021,,0
Total (tons),Alexandria-Cario Port,Illinois,2020,,"1,535,493"
Domestic,Alexandria-Cario Port,Illinois,2020,,"1,535,493"
Foreign Total,Alexandria-Cario Port,Illinois,2020,,0
Exports,Alexandria-Cario Port,Illinois,2020,,0
Imports,Alexandria-Cario Port,Illinois,2020,,0
Total (tons),Alpena,Michigan,2010,L3617,"2,148,171"
Domestic,Alpena,Michigan,2010,L3617,"1,928,496"
Foreign Total,Alpena,Michigan,2010,L3617,"219,675"
Exports,Alpena,Michigan,2010,L3617,"131,752"
Imports,Alpena,Michigan,2010,L3617,"87,923"
Total (tons),Alpena,Michigan,2017,L3617,"2,331,235"
Domestic,Alpena,Michigan,2017,L3617,"2,105,912"
Foreign Total,Alpena,Michigan,2017,L3617,"225,323"
Exports,Alpena,Michigan,2017,L3617,"89,077"
Imports,Alpena,Michigan,2017,L3617,"136,246"
Total (tons),Alpena,Michigan,2018,L3617,"2,237,836"
Domestic,Alpena,Michigan,2018,L3617,"2,093,141"
Foreign Total,Alpena,Michigan,2018,L3617,"144,695"
Exports,Alpena,Michigan,2018,L3617,"43,439"
Imports,Alpena,Michigan,2018,L3617,"101,256"
Total (tons),Alpena,Michigan,2019,L3617,"2,296,160"
Domestic,Alpena,Michigan,2019,L3617,"2,115,404"
Foreign Total,Alpena,Michigan,2019,L3617,"180,756"
Exports,Alpena,Michigan,2019,L3617,"20,118"
Imports,Alpena,Michigan,2019,L3617,"160,638"
Total (tons),Alpena,Michigan,2020,L3617,"4,817,558"
Domestic,Alpena,Michigan,2020,L3617,"4,557,318"
Foreign Total,Alpena,Michigan,2020,L3617,"260,240"
Exports,Alpena,Michigan,2020,L3617,0
Imports,Alpena,Michigan,2020,L3617,"260,240"
Total (tons),Alpena,Michigan,2021,L3617,"2,360,344"
Domestic,Alpena,Michigan,2021,L3617,"2,360,344"
Foreign Total,Alpena,Michigan,2021,L3617,0
Exports,Alpena,Michigan,2021,L3617,0
Imports,Alpena,Michigan,2021,L3617,0
Total (tons),Alpena,Michigan,2022,L3617,"2,197,451"
Domestic,Alpena,Michigan,2022,L3617,"2,161,483"
Foreign Total,Alpena,Michigan,2022,L3617,"35,968"
Exports,Alpena,Michigan,2022,L3617,"17,229"
