OBJECTID,Name,Services,Address,City,State,ZIP,CNTY_NAME,CO_NUMBER,D_DISTRICT,DISTRICT,ADD_Name,Phone,Date_of_Death,UpdateIndicator,GUID_Str,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Area_Development_District,x,y
1,TTX COMPANY CXLK (CSXT),"FREIGHT CAR REPAIR, FRA INSPECTIONS, MOBILE REPAIRS, WHEEL SHOP",8021 NATIONAL TURNPIKE,LOUISVILLE,KY,40214,JEFFERSON,56,Louisville,5,KIPDA,2152928162,,,{5D3CFE22-A7F3-4BDC-912E-B1817EBD0A67},e275e4ba-4277-4de9-b49a-c8505a2e5e9d,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,KIPDA,-9545186.1998,4599337.2391
2,"ROAD AND RAIL SERVICES INC. (CSXT, NS)","FREIGHT CAR REPAIR, FRA INSPECTIONS, MOBILE REPAIRS",603 CHERRY BLOSSOM WAY,GEORGETOWN,KY,40324,SCOTT,105,Lexington,7,BGADD,5028675135,,,{1CFBC0F2-C1C7-48C2-81E5-63439897059D},0e72abcf-381f-4cb8-8e70-3fa6a26812e3,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,BGADD,-9411833.0896,4618189.5284
3,"NRE PADUCAH (BNSF, CN)",FREIGHT CAR REPAIR,1300 KENTUCKY AVE,PADUCAH,KY,42003,MCCRACKEN,73,Paducah,1,PUADD,2704444555,,,{EC024D79-7390-4AA0-AEFF-92AB929989E1},b05dc1ab-9b4a-4b11-bd1a-013bf5dbfda4,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,PUADD,-9864149.2599,4449942.5551
4,PROGRESS RAIL MAYFIELD,FREIGHT CAR REPAIR,425 INGERSOLL RAND RD,MAYFIELD,KY,42066,GRAVES,42,Paducah,1,PUADD,2702473596,,,{FFA66F71-9A46-43F6-BA26-108FDDB3F855},1c041c37-6197-4585-b38f-0d0b337c246a,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,PUADD,-9870793.6763,4399148.2767
5,PROGRESS RAIL RACELAND,OTHER,1900 FRONT ST,ASHLAND,KY,41101,BOYD,10,Flemingsburg,9,FIVCO,6063299600,,,{6E9C4626-4AED-46E6-852D-445F69839BE3},62a1f864-d218-4e32-bd67-f07a7e26fb3f,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,FIVCO,-9198775.0957,4647325.0303
6,ROAD AND RAIL SERVICES INC.,OTHER,4233 BARDSTOWN RD #200,LOUISVILLE,KY,40218,JEFFERSON,56,Louisville,5,KIPDA,5024956688,,,{56D0F216-9A77-4849-B272-7C01B8570026},b50973c1-d521-4dd6-b527-b28bcaa70129,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,KIPDA,-9533134.9837,4606029.013
7,PROGRESS RAIL COVINGTON,"FREIGHT CAR REPAIR, REBUILDING, WRECK REPAIRS, AAR-CERTIFIED TANK CAR FACILITY, MOBILE REPAIRS, PAINTING, WHEEL SHOP ",8701 PROGRESS DR,TAYLOR MILL,KY,41015,KENTON,59,Covington,6,NKADD,8592915479,,,{52AC2469-62B1-4C07-8AD1-7F66BAE65768},55f1b322-2649-49e6-829a-b5384546ef6c,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,NKADD,-9402561.87,4721679.4507
8,PROGRESS RAIL CORBIN,"FREIGHT CAR REPAIR, REBUILDING, WRECK REPAIRS, AAR-CERTIFIED TANK CAR FACILITY, MOBILE REPAIRS, PAINTING, WHEEL SHOP ",385 HWY 2417,CORBIN,KY,40701,KNOX,61,Manchester,11,CVADD,6065231562,,,{17E7AAFF-6991-4ECB-81A0-77A327D7D0E0},0d02bd19-81f7-44d0-8803-6d4f5781c3a2,,5/2/2024 3:56:57 AM,,5/2/2024 3:56:57 AM,CVADD,-9357596.23,4430843.7411
