Measures,State,Year of Year,Values
Vehicles,Colorado,2017,"5,259,960"
Vehicles,Colorado,2020,"5,350,708"
Vehicles,Colorado,2018,"5,356,018"
Vehicles,Colorado,2019,"5,412,404"
Vehicles,Colorado,2023,"5,441,800"
Vehicles,Connecticut,2021,"2,756,485"
Vehicles,Connecticut,2022,"2,789,423"
Vehicles,Connecticut,2017,"2,826,350"
Vehicles,Connecticut,2015,"2,841,764"
Vehicles,Connecticut,2016,"2,841,842"
Vehicles,Connecticut,2020,"2,867,554"
Vehicles,Connecticut,2019,"2,878,548"
Vehicles,Connecticut,2018,"2,879,802"
Vehicles,Connecticut,2023,"2,945,700"
Vehicles,Connecticut,2010,"3,082,010"
Vehicles,Delaware,2022,"467,268"
Vehicles,Delaware,2021,"472,175"
Vehicles,Delaware,2010,"799,012"
Vehicles,Delaware,2023,"914,700"
Vehicles,Delaware,2015,"964,316"
Vehicles,Delaware,2017,"970,733"
Vehicles,Delaware,2016,"1,003,840"
Vehicles,Delaware,2020,"1,006,135"
Vehicles,Delaware,2018,"1,008,468"
Vehicles,Delaware,2019,"1,016,927"
Vehicles,District of Columbia,2010,"211,653"
Vehicles,District of Columbia,2023,"312,100"
Vehicles,District of Columbia,2015,"322,929"
Vehicles,District of Columbia,2016,"337,100"
Vehicles,District of Columbia,2017,"346,016"
Vehicles,District of Columbia,2019,"350,463"
Vehicles,District of Columbia,2018,"351,933"
Vehicles,District of Columbia,2020,"356,537"
Vehicles,District of Columbia,2021,"363,287"
Vehicles,District of Columbia,2022,"380,801"
Vehicles,Florida,2010,"14,372,810"
Vehicles,Florida,2015,"16,105,008"
Vehicles,Florida,2016,"16,600,317"
Vehicles,Florida,2017,"16,959,269"
Vehicles,Florida,2018,"17,496,002"
Vehicles,Florida,2019,"17,833,720"
Vehicles,Florida,2020,"18,464,506"
Vehicles,Florida,2023,"18,583,200"
Vehicles,Florida,2021,"19,180,165"
Vehicles,Florida,2022,"19,663,462"
Vehicles,Georgia,2010,"7,701,940"
Vehicles,Georgia,2015,"8,137,621"
Vehicles,Georgia,2016,"8,239,779"
Vehicles,Georgia,2017,"8,442,325"
Vehicles,Georgia,2018,"8,512,550"
Vehicles,Georgia,2019,"8,594,567"
Vehicles,Georgia,2020,"8,829,596"
Vehicles,Georgia,2021,"9,142,656"
Vehicles,Georgia,2022,"9,153,627"
Vehicles,Georgia,2023,"9,642,400"
Vehicles,Hawaii,2010,"904,467"
Vehicles,Hawaii,2023,"1,080,100"
Vehicles,Hawaii,2016,"1,231,728"
Vehicles,Hawaii,2015,"1,242,319"
Vehicles,Hawaii,2022,"1,243,333"
Vehicles,Hawaii,2021,"1,246,765"
Vehicles,Hawaii,2020,"1,256,140"
Vehicles,Hawaii,2017,"1,259,541"
Vehicles,Hawaii,2018,"1,267,385"
Vehicles,Hawaii,2019,"1,272,361"
Vehicles,Idaho,2010,"1,324,990"
Vehicles,Idaho,2017,"1,835,903"
Vehicles,Idaho,2016,"1,842,245"
Vehicles,Idaho,2015,"1,854,019"
Vehicles,Idaho,2018,"1,879,670"
Vehicles,Idaho,2020,"1,917,677"
Vehicles,Idaho,2019,"1,954,528"
Vehicles,Idaho,2023,"1,974,600"
Vehicles,Idaho,2021,"1,976,199"
Vehicles,Idaho,2022,"2,031,331"
Vehicles,Illinois,2023,"10,043,200"
Vehicles,Illinois,2010,"10,078,620"
Vehicles,Illinois,2016,"10,277,182"
Vehicles,Illinois,2022,"10,334,435"
Vehicles,Illinois,2020,"10,587,725"
Vehicles,Illinois,2018,"10,588,910"
Vehicles,Illinois,2015,"10,595,254"
Vehicles,Illinois,2019,"10,691,947"
Vehicles,Illinois,2017,"10,890,760"
Vehicles,Illinois,2021,"11,003,729"
Vehicles,Indiana,2010,"5,698,010"
Vehicles,Indiana,2015,"6,045,114"
Vehicles,Indiana,2016,"6,140,530"
Vehicles,Indiana,2017,"6,170,034"
Vehicles,Indiana,2023,"6,172,100"
Vehicles,Indiana,2018,"6,190,736"
Vehicles,Indiana,2020,"6,199,901"
Vehicles,Indiana,2019,"6,223,460"
Vehicles,Indiana,2021,"6,241,291"
Vehicles,Indiana,2022,"6,256,478"
Vehicles,Iowa,2023,"3,153,300"
Vehicles,Iowa,2010,"3,312,710"
Vehicles,Iowa,2015,"3,636,898"
Vehicles,Iowa,2016,"3,676,290"
Vehicles,Iowa,2018,"3,691,892"
Vehicles,Iowa,2017,"3,750,077"
Vehicles,Iowa,2022,"3,779,422"
Vehicles,Iowa,2019,"3,786,328"
Vehicles,Iowa,2020,"3,787,224"
Vehicles,Iowa,2021,"3,839,312"
Vehicles,Kansas,2010,"2,436,250"
Vehicles,Kansas,2022,"2,588,185"
Vehicles,Kansas,2020,"2,603,543"
Vehicles,Kansas,2021,"2,606,313"
Vehicles,Kansas,2023,"2,621,100"
Vehicles,Kansas,2015,"2,634,856"
Vehicles,Kansas,2016,"2,649,736"
Vehicles,Kansas,2019,"2,682,337"
Vehicles,Kansas,2018,"2,684,010"
Vehicles,Kansas,2017,"2,717,873"
Vehicles,Kentucky,2010,"3,589,120"
Vehicles,Kentucky,2023,"4,039,700"
Vehicles,Kentucky,2015,"4,151,982"
Vehicles,Kentucky,2016,"4,224,788"
Vehicles,Kentucky,2022,"4,291,816"
Vehicles,Kentucky,2017,"4,293,205"
Vehicles,Kentucky,2018,"4,368,285"
Vehicles,Kentucky,2019,"4,383,223"
Vehicles,Kentucky,2021,"4,408,730"
Vehicles,Kentucky,2020,"4,459,685"
Vehicles,Louisiana,2023,"3,774,200"
Vehicles,Louisiana,2019,"3,802,746"
Vehicles,Louisiana,2020,"3,861,204"
Vehicles,Louisiana,2021,"3,862,490"
Vehicles,Louisiana,2018,"3,885,119"
Vehicles,Louisiana,2015,"3,901,432"
Vehicles,Louisiana,2016,"3,904,962"
Vehicles,Louisiana,2017,"3,906,812"
Vehicles,Louisiana,2010,"4,086,130"
Vehicles,Louisiana,2022,"4,593,542"
Vehicles,Maine,2010,"1,053,840"
Vehicles,Maine,2017,"1,094,388"
Vehicles,Maine,2015,"1,104,001"
Vehicles,Maine,2016,"1,107,674"
Vehicles,Maine,2020,"1,121,106"
Vehicles,Maine,2018,"1,125,588"
Vehicles,Maine,2019,"1,130,056"
Vehicles,Maine,2023,"1,236,000"
Vehicles,Maine,2022,"1,294,286"
Vehicles,Maine,2021,"1,387,656"
Vehicles,Maryland,2015,"4,135,158"
Vehicles,Maryland,2016,"4,178,873"
Vehicles,Maryland,2019,"4,203,994"
Vehicles,Maryland,2018,"4,204,846"
Vehicles,Maryland,2020,"4,211,377"
Vehicles,Maryland,2017,"4,357,598"
Vehicles,Maryland,2010,"4,557,010"
Vehicles,Maryland,2021,"4,910,674"
Vehicles,Maryland,2022,"4,919,054"
Vehicles,Maryland,2023,"5,060,000"
Vehicles,Massachusetts,2020,"5,036,686"
Vehicles,Massachusetts,2019,"5,061,260"
Vehicles,Massachusetts,2018,"5,061,499"
Vehicles,Massachusetts,2017,"5,065,221"
Vehicles,Massachusetts,2016,"5,069,559"
Vehicles,Massachusetts,2015,"5,069,601"
Vehicles,Massachusetts,2022,"5,184,450"
Vehicles,Massachusetts,2021,"5,207,052"
Vehicles,Massachusetts,2010,"5,333,920"
Vehicles,Massachusetts,2023,"5,491,100"
Vehicles,Michigan,2015,"8,294,108"
Vehicles,Michigan,2016,"8,332,895"
Vehicles,Michigan,2018,"8,386,831"
Vehicles,Michigan,2019,"8,440,065"
Vehicles,Michigan,2020,"8,453,239"
Vehicles,Michigan,2017,"8,518,097"
Vehicles,Michigan,2023,"8,525,400"
Vehicles,Michigan,2010,"9,286,070"
Vehicles,Michigan,2022,"9,403,708"
Vehicles,Michigan,2021,"9,556,452"
Vehicles,Minnesota,2010,"4,847,970"
Vehicles,Minnesota,2023,"5,118,500"
Vehicles,Minnesota,2015,"5,281,269"
Vehicles,Minnesota,2016,"5,358,317"
Vehicles,Minnesota,2018,"5,404,277"
Vehicles,Minnesota,2019,"5,425,885"
Vehicles,Minnesota,2021,"5,511,960"
Vehicles,Minnesota,2022,"5,673,333"
Vehicles,Minnesota,2017,"5,682,653"
Vehicles,Minnesota,2020,"5,690,749"
Vehicles,Mississippi,2010,"2,015,920"
Vehicles,Mississippi,2017,"2,057,476"
Vehicles,Mississippi,2020,"2,058,975"
Vehicles,Mississippi,2019,"2,066,681"
Vehicles,Mississippi,2016,"2,067,222"
Vehicles,Mississippi,2018,"2,067,498"
Vehicles,Mississippi,2015,"2,068,853"
Vehicles,Mississippi,2022,"2,298,929"
Vehicles,Mississippi,2021,"2,385,768"
Vehicles,Mississippi,2023,"2,723,300"
Vehicles,Missouri,2010,"5,153,430"
Vehicles,Missouri,2022,"5,373,722"
Vehicles,Missouri,2018,"5,498,675"
Vehicles,Missouri,2019,"5,534,289"
Vehicles,Missouri,2017,"5,568,736"
Vehicles,Missouri,2020,"5,587,022"
Vehicles,Missouri,2021,"5,603,939"
Vehicles,Missouri,2015,"5,624,005"
Vehicles,Missouri,2023,"5,626,000"
Vehicles,Missouri,2016,"5,684,525"
Vehicles,Montana,2010,"925,854"
Vehicles,Montana,2023,"1,021,700"
Vehicles,Montana,2015,"1,645,227"
Vehicles,Montana,2016,"1,794,732"
Vehicles,Montana,2018,"1,845,338"
Vehicles,Montana,2017,"1,863,918"
Vehicles,Montana,2019,"1,900,806"
Vehicles,Montana,2020,"1,952,553"
Vehicles,Montana,2021,"2,140,014"
Vehicles,Montana,2022,"2,249,485"
Vehicles,Nebraska,2010,"1,802,500"
Vehicles,Nebraska,2021,"1,933,528"
Vehicles,Nebraska,2020,"1,935,357"
Vehicles,Nebraska,2016,"1,951,766"
Vehicles,Nebraska,2018,"1,961,309"
Vehicles,Nebraska,2017,"1,965,105"
Vehicles,Nebraska,2022,"1,967,125"
Vehicles,Nebraska,2019,"1,968,479"
Vehicles,Nebraska,2023,"1,971,200"
Vehicles,Nebraska,2015,"1,981,296"
Vehicles,Nevada,2010,"1,361,670"
Vehicles,Nevada,2015,"2,316,056"
Vehicles,Nevada,2016,"2,398,659"
Vehicles,Nevada,2017,"2,455,442"
Vehicles,Nevada,2018,"2,514,338"
Vehicles,Nevada,2019,"2,546,583"
Vehicles,Nevada,2020,"2,549,357"
Vehicles,Nevada,2023,"2,556,100"
Vehicles,Nevada,2022,"2,672,391"
Vehicles,Nevada,2021,"2,676,143"
Vehicles,New Hampshire,2010,"1,202,970"
Vehicles,New Hampshire,2015,"1,296,137"
Vehicles,New Hampshire,2017,"1,319,117"
Vehicles,New Hampshire,2016,"1,322,682"
Vehicles,New Hampshire,2018,"1,346,318"
Vehicles,New Hampshire,2020,"1,357,535"
Vehicles,New Hampshire,2019,"1,363,379"
Vehicles,New Hampshire,2023,"1,383,700"
Vehicles,New Hampshire,2021,"1,417,949"
Vehicles,New Hampshire,2022,"1,437,151"
Vehicles,New Jersey,2015,"5,938,585"
Vehicles,New Jersey,2016,"5,940,997"
Vehicles,New Jersey,2022,"5,999,667"
Vehicles,New Jersey,2020,"6,006,247"
Vehicles,New Jersey,2019,"6,033,015"
Vehicles,New Jersey,2018,"6,055,389"
Vehicles,New Jersey,2017,"6,057,711"
Vehicles,New Jersey,2021,"6,249,905"
Vehicles,New Jersey,2010,"6,628,080"
Vehicles,New Jersey,2023,"7,324,100"
Vehicles,New Mexico,2010,"1,612,490"
Vehicles,New Mexico,2017,"1,740,002"
Vehicles,New Mexico,2020,"1,783,151"
Vehicles,New Mexico,2015,"1,823,445"
Vehicles,New Mexico,2016,"1,823,961"
Vehicles,New Mexico,2018,"1,824,217"
Vehicles,New Mexico,2019,"1,825,421"
Vehicles,New Mexico,2021,"1,862,673"
Vehicles,New Mexico,2022,"1,870,380"
Vehicles,New Mexico,2023,"1,952,400"
Vehicles,New York,2022,"9,111,362"
Vehicles,New York,2021,"9,408,796"
Vehicles,New York,2010,"10,255,100"
Vehicles,New York,2015,"10,638,765"
Vehicles,New York,2017,"10,857,455"
Vehicles,New York,2016,"11,122,392"
Vehicles,New York,2023,"11,318,600"
Vehicles,New York,2020,"11,324,755"
Vehicles,New York,2019,"11,389,158"
Vehicles,New York,2018,"11,482,229"
Vehicles,North Carolina,2010,"5,742,830"
Vehicles,North Carolina,2015,"7,928,973"
Vehicles,North Carolina,2017,"8,070,717"
Vehicles,North Carolina,2018,"8,210,213"
Vehicles,North Carolina,2016,"8,270,643"
Vehicles,North Carolina,2019,"8,527,388"
Vehicles,North Carolina,2021,"8,707,506"
Vehicles,North Carolina,2020,"8,739,280"
Vehicles,North Carolina,2022,"8,995,906"
Vehicles,North Carolina,2023,"9,085,500"
Vehicles,North Dakota,2010,"735,644"
Vehicles,North Dakota,2023,"797,400"
Vehicles,North Dakota,2015,"890,803"
Vehicles,North Dakota,2016,"894,954"
Vehicles,North Dakota,2020,"899,083"
Vehicles,North Dakota,2018,"899,953"
Vehicles,North Dakota,2019,"903,668"
Vehicles,North Dakota,2021,"925,186"
Vehicles,North Dakota,2017,"1,056,758"
Vehicles,North Dakota,2022,"1,093,509"
Vehicles,Ohio,2010,"9,800,930"
Vehicles,Ohio,2023,"10,317,300"
Vehicles,Ohio,2015,"10,557,323"
Vehicles,Ohio,2020,"10,592,317"
Vehicles,Ohio,2016,"10,686,057"
Vehicles,Ohio,2017,"10,809,247"
Vehicles,Ohio,2021,"10,892,377"
Vehicles,Ohio,2019,"10,901,279"
Vehicles,Ohio,2018,"10,913,773"
Vehicles,Ohio,2022,"11,028,755"
Vehicles,Oklahoma,2015,"2,988,512"
Vehicles,Oklahoma,2022,"3,345,331"
Vehicles,Oklahoma,2021,"3,353,167"
Vehicles,Oklahoma,2010,"3,357,460"
Vehicles,Oklahoma,2018,"3,699,022"
Vehicles,Oklahoma,2019,"3,706,624"
Vehicles,Oklahoma,2020,"3,730,247"
Vehicles,Oklahoma,2016,"3,737,405"
Vehicles,Oklahoma,2017,"3,744,178"
Vehicles,Oklahoma,2023,"4,287,900"
Vehicles,Oregon,2010,"3,050,250"
Vehicles,Oregon,2015,"3,607,482"
Vehicles,Oregon,2016,"3,811,706"
Vehicles,Oregon,2023,"3,832,700"
Vehicles,Oregon,2019,"3,919,157"
Vehicles,Oregon,2018,"3,942,875"
Vehicles,Oregon,2021,"4,010,635"
Vehicles,Oregon,2020,"4,095,442"
Vehicles,Oregon,2017,"4,103,451"
Vehicles,Oregon,2022,"4,139,333"
Vehicles,Pennsylvania,2010,"9,990,940"
Vehicles,Pennsylvania,2023,"10,211,000"
Vehicles,Pennsylvania,2015,"10,598,694"
Vehicles,Pennsylvania,2017,"10,689,206"
Vehicles,Pennsylvania,2020,"10,690,187"
Vehicles,Pennsylvania,2018,"10,727,715"
Vehicles,Pennsylvania,2016,"10,748,822"
Vehicles,Pennsylvania,2019,"10,800,315"
Vehicles,Pennsylvania,2022,"10,868,829"
Vehicles,Pennsylvania,2021,"10,927,881"
Vehicles,Rhode Island,2010,"782,438"
Vehicles,Rhode Island,2021,"801,654"
Vehicles,Rhode Island,2022,"806,142"
Vehicles,Rhode Island,2020,"866,625"
Vehicles,Rhode Island,2019,"868,942"
Vehicles,Rhode Island,2018,"872,344"
Vehicles,Rhode Island,2017,"872,814"
Vehicles,Rhode Island,2015,"875,097"
Vehicles,Rhode Island,2016,"876,228"
Vehicles,Rhode Island,2023,"877,600"
Vehicles,South Carolina,2010,"3,660,880"
Vehicles,South Carolina,2015,"4,162,651"
Vehicles,South Carolina,2016,"4,324,423"
Vehicles,South Carolina,2017,"4,404,100"
Vehicles,South Carolina,2018,"4,457,519"
Vehicles,South Carolina,2019,"4,516,143"
Vehicles,South Carolina,2020,"4,561,299"
Vehicles,South Carolina,2023,"5,042,400"
Vehicles,South Carolina,2021,"5,091,679"
Vehicles,South Carolina,2022,"5,245,829"
Vehicles,South Dakota,2023,"918,000"
Vehicles,South Dakota,2010,"925,548"
Vehicles,South Dakota,2015,"1,082,289"
Vehicles,South Dakota,2016,"1,246,359"
Vehicles,South Dakota,2017,"1,258,356"
Vehicles,South Dakota,2018,"1,269,415"
Vehicles,South Dakota,2019,"1,280,969"
Vehicles,South Dakota,2020,"1,294,282"
Vehicles,South Dakota,2022,"1,364,513"
Vehicles,South Dakota,2021,"1,433,044"
Vehicles,Tennessee,2010,"5,113,910"
Vehicles,Tennessee,2015,"5,612,123"
Vehicles,Tennessee,2016,"5,709,923"
Vehicles,Tennessee,2018,"5,770,874"
Vehicles,Tennessee,2017,"5,800,489"
Vehicles,Tennessee,2019,"5,817,887"
Vehicles,Tennessee,2020,"5,855,373"
Vehicles,Tennessee,2023,"6,538,800"
Vehicles,Tennessee,2021,"6,712,722"
Vehicles,Tennessee,2022,"6,828,011"
Vehicles,Texas,2010,"17,193,560"
Vehicles,Texas,2016,"21,766,166"
Vehicles,Texas,2015,"21,864,841"
Vehicles,Texas,2017,"22,130,765"
Vehicles,Texas,2018,"22,186,241"
Vehicles,Texas,2020,"22,419,490"
Vehicles,Texas,2019,"23,007,146"
Vehicles,Texas,2021,"23,012,990"
Vehicles,Texas,2022,"23,291,638"
Vehicles,Texas,2023,"25,796,600"
Vehicles,Utah,2015,"2,229,193"
Vehicles,Utah,2016,"2,317,282"
Vehicles,Utah,2017,"2,355,773"
Vehicles,Utah,2018,"2,372,800"
Vehicles,Utah,2019,"2,430,275"
Vehicles,Utah,2020,"2,479,604"
Vehicles,Utah,2010,"2,654,720"
Vehicles,Utah,2021,"2,838,505"
Vehicles,Utah,2022,"2,876,800"
Vehicles,Utah,2023,"3,076,200"
Vehicles,Vermont,2010,"566,650"
Vehicles,Vermont,2023,"593,100"
Vehicles,Vermont,2020,"607,890"
Vehicles,Vermont,2021,"614,340"
Vehicles,Vermont,2016,"615,950"
Vehicles,Vermont,2018,"619,694"
Vehicles,Vermont,2019,"620,428"
Vehicles,Vermont,2017,"621,608"
Vehicles,Vermont,2022,"625,664"
Vehicles,Vermont,2015,"655,347"
Vehicles,Virginia,2010,"6,148,790"
Vehicles,Virginia,2015,"7,238,905"
Vehicles,Virginia,2016,"7,301,081"
Vehicles,Virginia,2017,"7,514,484"
Vehicles,Virginia,2018,"7,604,646"
Vehicles,Virginia,2020,"7,606,452"
Vehicles,Virginia,2019,"7,647,692"
Vehicles,Virginia,2021,"7,652,036"
Vehicles,Virginia,2023,"7,723,500"
Vehicles,Virginia,2022,"7,763,287"
Vehicles,Washington,2010,"4,682,790"
Vehicles,Washington,2015,"6,725,467"
Vehicles,Washington,2023,"6,816,100"
Vehicles,Washington,2016,"7,047,689"
Vehicles,Washington,2018,"7,152,413"
Vehicles,Washington,2017,"7,256,196"
Vehicles,Washington,2020,"7,257,401"
Vehicles,Washington,2019,"7,377,028"
Vehicles,Washington,2022,"7,835,063"
Vehicles,Washington,2021,"7,966,147"
Vehicles,West Virginia,2021,"1,219,024"
Vehicles,West Virginia,2010,"1,435,520"
Vehicles,West Virginia,2023,"1,510,900"
Vehicles,West Virginia,2015,"1,613,345"
Vehicles,West Virginia,2022,"1,652,896"
Vehicles,West Virginia,2020,"1,657,362"
Vehicles,West Virginia,2019,"1,668,113"
Vehicles,West Virginia,2017,"1,691,237"
Vehicles,West Virginia,2018,"1,693,719"
Vehicles,West Virginia,2016,"1,704,825"
Vehicles,Wisconsin,2010,"4,967,780"
Vehicles,Wisconsin,2015,"5,466,581"
Vehicles,Wisconsin,2023,"5,529,000"
Vehicles,Wisconsin,2016,"5,564,429"
Vehicles,Wisconsin,2017,"5,596,635"
Vehicles,Wisconsin,2020,"5,616,271"
Vehicles,Wisconsin,2019,"5,666,400"
Vehicles,Wisconsin,2022,"5,681,673"
Vehicles,Wisconsin,2018,"5,683,061"
Vehicles,Wisconsin,2021,"5,769,058"
Vehicles,Wyoming,2023,"652,900"
Vehicles,Wyoming,2010,"663,253"
Vehicles,Wyoming,2015,"814,989"
Vehicles,Wyoming,2017,"819,257"
Vehicles,Wyoming,2018,"837,024"
Vehicles,Wyoming,2019,"843,671"
Vehicles,Wyoming,2016,"855,230"
Vehicles,Wyoming,2020,"861,028"
Vehicles,Wyoming,2021,"870,969"
Vehicles,Wyoming,2022,"890,285"
Highway vehicle-miles traveled (millions),United States,2020,"2,917,383.137"
Highway vehicle-miles traveled (millions),United States,2010,"2,985,854.322"
Highway vehicle-miles traveled (millions),United States,2015,"3,104,405.552"
Highway vehicle-miles traveled (millions),United States,2021,"3,153,957.276"
Highway vehicle-miles traveled (millions),United States,2016,"3,188,379"
Highway vehicle-miles traveled (millions),United States,2022,"3,211,119.948"
Highway vehicle-miles traveled (millions),United States,2017,"3,225,258.237"
Highway vehicle-miles traveled (millions),United States,2018,"3,255,346.658"
Highway vehicle-miles traveled (millions),United States,2023,"3,261,799.876"
Highway vehicle-miles traveled (millions),United States,2019,"3,276,481.684"
Highway vehicle-miles traveled (millions),United States,2024,"3,309,480.6"
Highway vehicle-miles traveled (millions),Alabama,2010,"64,165.14864"
Highway vehicle-miles traveled (millions),Alabama,2015,"67,257.00465"
Highway vehicle-miles traveled (millions),Alabama,2020,"67,921.49684"
Highway vehicle-miles traveled (millions),Alabama,2016,"69,227"
Highway vehicle-miles traveled (millions),Alabama,2017,"70,677.2482"
Highway vehicle-miles traveled (millions),Alabama,2018,"71,167.20675"
Highway vehicle-miles traveled (millions),Alabama,2022,"71,630.53914"
Highway vehicle-miles traveled (millions),Alabama,2019,"71,734.62781"
Highway vehicle-miles traveled (millions),Alabama,2023,"72,288.61217"
Highway vehicle-miles traveled (millions),Alabama,2024,"72,903.93182"
Highway vehicle-miles traveled (millions),Alabama,2021,"79,568.58544"
Highway vehicle-miles traveled (millions),Alaska,2010,"4,798.261974"
Highway vehicle-miles traveled (millions),Alaska,2015,"5,045.390231"
Highway vehicle-miles traveled (millions),Alaska,2016,"5,259"
Highway vehicle-miles traveled (millions),Alaska,2020,"5,305.88855"
Highway vehicle-miles traveled (millions),Alaska,2022,"5,478.20939"
Highway vehicle-miles traveled (millions),Alaska,2018,"5,487.319994"
Highway vehicle-miles traveled (millions),Alaska,2024,"5,502.57893"
Highway vehicle-miles traveled (millions),Alaska,2017,"5,518.716307"
Highway vehicle-miles traveled (millions),Alaska,2023,"5,617.22898"
Highway vehicle-miles traveled (millions),Alaska,2021,"5,752.18765"
Highway vehicle-miles traveled (millions),Alaska,2019,"5,881.303128"
Highway vehicle-miles traveled (millions),Arizona,2010,"59,995.1587"
Highway vehicle-miles traveled (millions),Arizona,2015,"65,044.85807"
Highway vehicle-miles traveled (millions),Arizona,2017,"65,069.57894"
Highway vehicle-miles traveled (millions),Arizona,2020,"65,758.27912"
Highway vehicle-miles traveled (millions),Arizona,2016,"65,786"
Highway vehicle-miles traveled (millions),Arizona,2018,"66,144.51121"
Highway vehicle-miles traveled (millions),Arizona,2019,"70,280.64647"
Highway vehicle-miles traveled (millions),Arizona,2024,"70,451.16224"
Highway vehicle-miles traveled (millions),Arizona,2021,"73,759.95568"
Highway vehicle-miles traveled (millions),Arizona,2023,"75,297.46796"
Highway vehicle-miles traveled (millions),Arizona,2022,"76,159.31155"
Highway vehicle-miles traveled (millions),Arkansas,2010,"33,504.42526"
Highway vehicle-miles traveled (millions),Arkansas,2020,"33,918.76191"
Highway vehicle-miles traveled (millions),Arkansas,2015,"34,897.33423"
Highway vehicle-miles traveled (millions),Arkansas,2016,"35,755"
Highway vehicle-miles traveled (millions),Arkansas,2017,"36,389.32515"
Highway vehicle-miles traveled (millions),Arkansas,2018,"36,675.30905"
Highway vehicle-miles traveled (millions),Arkansas,2019,"37,099.01982"
Highway vehicle-miles traveled (millions),Arkansas,2021,"38,426.80577"
Highway vehicle-miles traveled (millions),Arkansas,2022,"38,530.47256"
Highway vehicle-miles traveled (millions),Arkansas,2023,"39,100.84231"
Highway vehicle-miles traveled (millions),Arkansas,2024,"39,372.41129"
Highway vehicle-miles traveled (millions),California,2020,"299,811.6831"
Highway vehicle-miles traveled (millions),California,2021,"310,822.7259"
Highway vehicle-miles traveled (millions),California,2022,"315,243.5726"
Highway vehicle-miles traveled (millions),California,2023,"316,612.3413"
Highway vehicle-miles traveled (millions),California,2010,"322,849.3982"
Highway vehicle-miles traveled (millions),California,2024,"325,959.2178"
Highway vehicle-miles traveled (millions),California,2015,"335,538.5566"
Highway vehicle-miles traveled (millions),California,2016,"340,115"
Highway vehicle-miles traveled (millions),California,2019,"340,836.2515"
Highway vehicle-miles traveled (millions),California,2017,"343,862.1124"
Highway vehicle-miles traveled (millions),California,2018,"348,795.7135"
Highway vehicle-miles traveled (millions),Colorado,2010,"46,939.92729"
Highway vehicle-miles traveled (millions),Colorado,2020,"48,642.0466"
Highway vehicle-miles traveled (millions),Colorado,2015,"50,437.33835"
Highway vehicle-miles traveled (millions),Colorado,2016,"52,152"
Highway vehicle-miles traveled (millions),Colorado,2017,"53,382.10272"
Highway vehicle-miles traveled (millions),Colorado,2021,"53,839.70626"
Highway vehicle-miles traveled (millions),Colorado,2022,"53,935.28656"
Highway vehicle-miles traveled (millions),Colorado,2018,"53,953.6075"
Highway vehicle-miles traveled (millions),Colorado,2019,"54,633.55451"
Highway vehicle-miles traveled (millions),Colorado,2023,"54,654.26945"
Highway vehicle-miles traveled (millions),Colorado,2024,"55,067.98629"
Highway vehicle-miles traveled (millions),Connecticut,2021,"28,988.54262"
Highway vehicle-miles traveled (millions),Connecticut,2022,"29,666.31429"
Highway vehicle-miles traveled (millions),Connecticut,2020,"29,844.93826"
Highway vehicle-miles traveled (millions),Connecticut,2023,"30,502.58364"
Highway vehicle-miles traveled (millions),Connecticut,2024,"30,946.86637"
Highway vehicle-miles traveled (millions),Connecticut,2010,"31,294.41665"
Highway vehicle-miles traveled (millions),Connecticut,2017,"31,500.06154"
Highway vehicle-miles traveled (millions),Connecticut,2015,"31,591.79366"
Highway vehicle-miles traveled (millions),Connecticut,2018,"31,595.70533"
Highway vehicle-miles traveled (millions),Connecticut,2019,"31,600.84836"
Highway vehicle-miles traveled (millions),Connecticut,2016,"31,639"
Highway vehicle-miles traveled (millions),Delaware,2020,"8,345.22961"
Highway vehicle-miles traveled (millions),Delaware,2010,"8,947.67132"
Highway vehicle-miles traveled (millions),Delaware,2023,"9,717.74276"
Highway vehicle-miles traveled (millions),Delaware,2022,"9,872.39943"
Highway vehicle-miles traveled (millions),Delaware,2015,"9,930.610378"
Highway vehicle-miles traveled (millions),Delaware,2024,"9,936.55264"
Highway vehicle-miles traveled (millions),Delaware,2021,"10,152.42445"
Highway vehicle-miles traveled (millions),Delaware,2016,"10,178"
Highway vehicle-miles traveled (millions),Delaware,2018,"10,179.38381"
Highway vehicle-miles traveled (millions),Delaware,2019,"10,245.15892"
Highway vehicle-miles traveled (millions),Delaware,2017,"10,466.907"
Highway vehicle-miles traveled (millions),District of Columbia,2020,"3,030.47397"
Highway vehicle-miles traveled (millions),District of Columbia,2021,"3,247.77543"
Highway vehicle-miles traveled (millions),District of Columbia,2022,"3,420.7313"
Highway vehicle-miles traveled (millions),District of Columbia,2023,"3,480.73633"
Highway vehicle-miles traveled (millions),District of Columbia,2024,"3,539.34509"
Highway vehicle-miles traveled (millions),District of Columbia,2015,"3,557.192653"
Highway vehicle-miles traveled (millions),District of Columbia,2010,"3,590.818444"
Highway vehicle-miles traveled (millions),District of Columbia,2016,"3,622"
Highway vehicle-miles traveled (millions),District of Columbia,2018,"3,690.677971"
Highway vehicle-miles traveled (millions),District of Columbia,2017,"3,715.864585"
Highway vehicle-miles traveled (millions),District of Columbia,2019,"3,756.069755"
Highway vehicle-miles traveled (millions),Florida,2010,"195,754.7133"
Highway vehicle-miles traveled (millions),Florida,2015,"206,982.4642"
Highway vehicle-miles traveled (millions),Florida,2020,"208,075.9189"
Highway vehicle-miles traveled (millions),Florida,2016,"215,551"
