Class,International Roughness Index,State,System,Value
Total (miles),,United States,Overall,"806,413.9"
Total (miles),,Alabama,Overall,"21,763.8"
Total (miles),,Alaska,Overall,"3,661.2"
Total (miles),,Arizona,Overall,"16,564.8"
Total (miles),,Arkansas,Overall,"17,085.4"
Total (miles),,California,Overall,"26,014.3"
Total (miles),,Colorado,Overall,"16,187.4"
Total (miles),,Connecticut,Overall,"6,392.7"
Total (miles),,Delaware,Overall,"1,576.7"
Total (miles),,District of Columbia,Overall,433.1
Total (miles),,Florida,Overall,"27,297.9"
Total (miles),,Georgia,Overall,"30,148.2"
Total (miles),,Hawaii,Overall,"1,547.5"
Total (miles),,Idaho,Overall,"4,914.0"
Total (miles),,Illinois,Overall,"31,355.6"
Total (miles),,Indiana,Overall,"9,062.5"
Total (miles),,Iowa,Overall,"5,104.7"
Total (miles),,Kansas,Overall,"13,619.4"
Total (miles),,Kentucky,Overall,"13,622.9"
Total (miles),,Louisiana,Overall,"14,343.8"
Total (miles),,Maine,Overall,"6,312.9"
Total (miles),,Maryland,Overall,"8,167.0"
Total (miles),,Massachusetts,Overall,"4,996.2"
Total (miles),,Michigan,Overall,"27,994.9"
Total (miles),,Minnesota,Overall,"32,882.8"
Total (miles),,Mississippi,Overall,"21,748.1"
Total (miles),,Missouri,Overall,"30,836.7"
Total (miles),,Montana,Overall,"12,810.0"
Total (miles),,Nebraska,Overall,"9,988.9"
Total (miles),,Nevada,Overall,"7,523.1"
Total (miles),,New Hampshire,Overall,"3,622.8"
Total (miles),,New Jersey,Overall,"3,842.6"
Total (miles),,New Mexico,Overall,"12,006.6"
Total (miles),,New York,Overall,"27,214.2"
Total (miles),,North Carolina,Overall,"23,188.9"
Total (miles),,North Dakota,Overall,"14,291.9"
Total (miles),,Ohio,Overall,"29,819.9"
Total (miles),,Oklahoma,Overall,"24,576.7"
Total (miles),,Oregon,Overall,"8,665.7"
Total (miles),,Pennsylvania,Overall,"27,158.3"
Total (miles),,Rhode Island,Overall,"1,722.7"
Total (miles),,South Carolina,Overall,"19,496.8"
Total (miles),,South Dakota,Overall,"10,149.4"
Total (miles),,Tennessee,Overall,"4,988.4"
Total (miles),,Texas,Overall,"88,812.6"
Total (miles),,Utah,Overall,"7,099.7"
Total (miles),,Vermont,Overall,788.1
Total (miles),,Virginia,Overall,"17,992.9"
Total (miles),,Washington,Overall,"19,834.5"
Total (miles),,West Virginia,Overall,"3,219.8"
Total (miles),,Wisconsin,Overall,"24,542.8"
Total (miles),,Wyoming,Overall,"6,268.3"
Total (miles),,Puerto Rico,Overall,"3,153.7"
Acceptable (miles),,United States,Overall,"654,434.6"
Acceptable (miles),,Alabama,Overall,"19,929.1"
Acceptable (miles),,Alaska,Overall,"2,839.1"
Acceptable (miles),,Arizona,Overall,"12,299.3"
Acceptable (miles),,Arkansas,Overall,"14,106.6"
Acceptable (miles),,California,Overall,"18,721.0"
Acceptable (miles),,Colorado,Overall,"12,313.9"
Acceptable (miles),,Connecticut,Overall,"4,476.8"
Acceptable (miles),,Delaware,Overall,"1,328.0"
Acceptable (miles),,District of Columbia,Overall,36.7
Acceptable (miles),,Florida,Overall,"23,786.2"
Acceptable (miles),,Georgia,Overall,"28,191.6"
Acceptable (miles),,Hawaii,Overall,942.6
Acceptable (miles),,Idaho,Overall,"4,607.8"
Acceptable (miles),,Illinois,Overall,"25,218.7"
Acceptable (miles),,Indiana,Overall,"8,825.2"
Acceptable (miles),,Iowa,Overall,"4,658.7"
Acceptable (miles),,Kansas,Overall,"13,100.7"
Acceptable (miles),,Kentucky,Overall,"12,380.8"
Acceptable (miles),,Louisiana,Overall,"10,618.0"
Acceptable (miles),,Maine,Overall,"5,263.3"
Acceptable (miles),,Maryland,Overall,"5,821.7"
Acceptable (miles),,Massachusetts,Overall,"3,711.0"
Acceptable (miles),,Michigan,Overall,"23,554.0"
Acceptable (miles),,Minnesota,Overall,"29,772.7"
Acceptable (miles),,Mississippi,Overall,"15,256.5"
Acceptable (miles),,Missouri,Overall,"23,286.6"
Acceptable (miles),,Montana,Overall,"11,426.6"
Acceptable (miles),,Nebraska,Overall,"9,251.2"
Acceptable (miles),,Nevada,Overall,"6,415.7"
Acceptable (miles),,New Hampshire,Overall,"3,007.3"
Acceptable (miles),,New Jersey,Overall,"3,151.0"
Acceptable (miles),,New Mexico,Overall,"8,047.8"
Acceptable (miles),,New York,Overall,"20,527.2"
Acceptable (miles),,North Carolina,Overall,"20,319.7"
Acceptable (miles),,North Dakota,Overall,"13,338.6"
Acceptable (miles),,Ohio,Overall,"25,543.1"
Acceptable (miles),,Oklahoma,Overall,"17,970.5"
Acceptable (miles),,Oregon,Overall,"7,700.8"
Acceptable (miles),,Pennsylvania,Overall,"19,726.3"
Acceptable (miles),,Rhode Island,Overall,951.8
Acceptable (miles),,South Carolina,Overall,"15,694.5"
Acceptable (miles),,South Dakota,Overall,"9,652.4"
Acceptable (miles),,Tennessee,Overall,"4,691.8"
Acceptable (miles),,Texas,Overall,"68,187.3"
Acceptable (miles),,Utah,Overall,"6,295.8"
Acceptable (miles),,Vermont,Overall,747.6
Acceptable (miles),,Virginia,Overall,"14,884.9"
Acceptable (miles),,Washington,Overall,"13,956.7"
Acceptable (miles),,West Virginia,Overall,"2,954.1"
Acceptable (miles),,Wisconsin,Overall,"18,436.1"
Acceptable (miles),,Wyoming,Overall,"5,947.5"
Acceptable (miles),,Puerto Rico,Overall,561.7
Percent Acceptable,,United States,Overall,81.2
Percent Acceptable,,Alabama,Overall,91.6
Percent Acceptable,,Alaska,Overall,77.5
Percent Acceptable,,Arizona,Overall,74.2
Percent Acceptable,,Arkansas,Overall,82.6
Percent Acceptable,,California,Overall,72.0
Percent Acceptable,,Colorado,Overall,76.1
Percent Acceptable,,Connecticut,Overall,70.0
Percent Acceptable,,Delaware,Overall,84.2
Percent Acceptable,,District of Columbia,Overall,8.5
Percent Acceptable,,Florida,Overall,87.1
Percent Acceptable,,Georgia,Overall,93.5
Percent Acceptable,,Hawaii,Overall,60.9
Percent Acceptable,,Idaho,Overall,93.8
Percent Acceptable,,Illinois,Overall,80.4
Percent Acceptable,,Indiana,Overall,97.4
Percent Acceptable,,Iowa,Overall,91.3
Percent Acceptable,,Kansas,Overall,96.2
Percent Acceptable,,Kentucky,Overall,90.9
Percent Acceptable,,Louisiana,Overall,74.0
Percent Acceptable,,Maine,Overall,83.4
Percent Acceptable,,Maryland,Overall,71.3
Percent Acceptable,,Massachusetts,Overall,74.3
Percent Acceptable,,Michigan,Overall,84.1
Percent Acceptable,,Minnesota,Overall,90.5
Percent Acceptable,,Mississippi,Overall,70.2
Percent Acceptable,,Missouri,Overall,75.5
Percent Acceptable,,Montana,Overall,89.2
Percent Acceptable,,Nebraska,Overall,92.6
Percent Acceptable,,Nevada,Overall,85.3
Percent Acceptable,,New Hampshire,Overall,83.0
Percent Acceptable,,New Jersey,Overall,82.0
Percent Acceptable,,New Mexico,Overall,67.0
Percent Acceptable,,New York,Overall,75.4
Percent Acceptable,,North Carolina,Overall,87.6
Percent Acceptable,,North Dakota,Overall,93.3
Percent Acceptable,,Ohio,Overall,85.7
Percent Acceptable,,Oklahoma,Overall,73.1
Percent Acceptable,,Oregon,Overall,88.9
Percent Acceptable,,Pennsylvania,Overall,72.6
Percent Acceptable,,Rhode Island,Overall,55.3
Percent Acceptable,,South Carolina,Overall,80.5
Percent Acceptable,,South Dakota,Overall,95.1
Percent Acceptable,,Tennessee,Overall,94.1
Percent Acceptable,,Texas,Overall,76.8
Percent Acceptable,,Utah,Overall,88.7
Percent Acceptable,,Vermont,Overall,94.9
Percent Acceptable,,Virginia,Overall,82.7
Percent Acceptable,,Washington,Overall,70.4
Percent Acceptable,,West Virginia,Overall,91.8
Percent Acceptable,,Wisconsin,Overall,75.1
Percent Acceptable,,Wyoming,Overall,94.9
Percent Acceptable,,Puerto Rico,Overall,17.8
Urban (miles),Less than 60,United States,Other principal arterials,"7,511.1"
Urban (miles),Less than 60,Alabama,Other principal arterials,454.4
Urban (miles),Less than 60,Alaska,Other principal arterials,24.2
Urban (miles),Less than 60,Arizona,Other principal arterials,48.9
Urban (miles),Less than 60,Arkansas,Other principal arterials,102.6
Urban (miles),Less than 60,California,Other principal arterials,132.3
Urban (miles),Less than 60,Colorado,Other principal arterials,59.0
Urban (miles),Less than 60,Connecticut,Other principal arterials,21.3
Urban (miles),Less than 60,Delaware,Other principal arterials,35.4
Urban (miles),Less than 60,District of Columbia,Other principal arterials,0.0
Urban (miles),Less than 60,Florida,Other principal arterials,961.3
Urban (miles),Less than 60,Georgia,Other principal arterials,641.8
Urban (miles),Less than 60,Hawaii,Other principal arterials,28.0
Urban (miles),Less than 60,Idaho,Other principal arterials,60.1
Urban (miles),Less than 60,Illinois,Other principal arterials,300.3
Urban (miles),Less than 60,Indiana,Other principal arterials,356.0
Urban (miles),Less than 60,Iowa,Other principal arterials,96.7
Urban (miles),Less than 60,Kansas,Other principal arterials,60.9
Urban (miles),Less than 60,Kentucky,Other principal arterials,150.3
Urban (miles),Less than 60,Louisiana,Other principal arterials,94.8
Urban (miles),Less than 60,Maine,Other principal arterials,29.5
Urban (miles),Less than 60,Maryland,Other principal arterials,151.2
Urban (miles),Less than 60,Massachusetts,Other principal arterials,86.9
Urban (miles),Less than 60,Michigan,Other principal arterials,169.8
Urban (miles),Less than 60,Minnesota,Other principal arterials,195.7
Urban (miles),Less than 60,Mississippi,Other principal arterials,130.9
Urban (miles),Less than 60,Missouri,Other principal arterials,129.9
Urban (miles),Less than 60,Montana,Other principal arterials,36.0
Urban (miles),Less than 60,Nebraska,Other principal arterials,11.0
Urban (miles),Less than 60,Nevada,Other principal arterials,113.0
Urban (miles),Less than 60,New Hampshire,Other principal arterials,72.8
Urban (miles),Less than 60,New Jersey,Other principal arterials,201.4
Urban (miles),Less than 60,New Mexico,Other principal arterials,78.7
Urban (miles),Less than 60,New York,Other principal arterials,92.0
Urban (miles),Less than 60,North Carolina,Other principal arterials,100.6
Urban (miles),Less than 60,North Dakota,Other principal arterials,31.3
Urban (miles),Less than 60,Ohio,Other principal arterials,212.8
Urban (miles),Less than 60,Oklahoma,Other principal arterials,61.3
Urban (miles),Less than 60,Oregon,Other principal arterials,106.4
Urban (miles),Less than 60,Pennsylvania,Other principal arterials,192.4
Urban (miles),Less than 60,Rhode Island,Other principal arterials,13.8
Urban (miles),Less than 60,South Carolina,Other principal arterials,147.9
Urban (miles),Less than 60,South Dakota,Other principal arterials,12.4
Urban (miles),Less than 60,Tennessee,Other principal arterials,477.6
Urban (miles),Less than 60,Texas,Other principal arterials,579.5
Urban (miles),Less than 60,Utah,Other principal arterials,125.7
Urban (miles),Less than 60,Vermont,Other principal arterials,21.4
Urban (miles),Less than 60,Virginia,Other principal arterials,52.6
Urban (miles),Less than 60,Washington,Other principal arterials,54.9
Urban (miles),Less than 60,West Virginia,Other principal arterials,40.6
Urban (miles),Less than 60,Wisconsin,Other principal arterials,109.1
Urban (miles),Less than 60,Wyoming,Other principal arterials,43.4
Urban (miles),Less than 60,Puerto Rico,Other principal arterials,0.3
Urban (miles),60-94,United States,Other principal arterials,"16,018.5"
Urban (miles),60-94,Alabama,Other principal arterials,486.1
Urban (miles),60-94,Alaska,Other principal arterials,43.2
Urban (miles),60-94,Arizona,Other principal arterials,140.0
Urban (miles),60-94,Arkansas,Other principal arterials,215.0
Urban (miles),60-94,California,Other principal arterials,481.5
Urban (miles),60-94,Colorado,Other principal arterials,238.9
Urban (miles),60-94,Connecticut,Other principal arterials,197.5
Urban (miles),60-94,Delaware,Other principal arterials,88.8
Urban (miles),60-94,District of Columbia,Other principal arterials,0.1
Urban (miles),60-94,Florida,Other principal arterials,"1,602.2"
Urban (miles),60-94,Georgia,Other principal arterials,980.4
Urban (miles),60-94,Hawaii,Other principal arterials,63.2
Urban (miles),60-94,Idaho,Other principal arterials,115.7
Urban (miles),60-94,Illinois,Other principal arterials,661.7
Urban (miles),60-94,Indiana,Other principal arterials,388.0
Urban (miles),60-94,Iowa,Other principal arterials,207.2
Urban (miles),60-94,Kansas,Other principal arterials,79.6
Urban (miles),60-94,Kentucky,Other principal arterials,218.2
Urban (miles),60-94,Louisiana,Other principal arterials,193.9
Urban (miles),60-94,Maine,Other principal arterials,32.4
Urban (miles),60-94,Maryland,Other principal arterials,268.4
Urban (miles),60-94,Massachusetts,Other principal arterials,317.4
Urban (miles),60-94,Michigan,Other principal arterials,416.9
Urban (miles),60-94,Minnesota,Other principal arterials,243.7
Urban (miles),60-94,Mississippi,Other principal arterials,261.0
Urban (miles),60-94,Missouri,Other principal arterials,265.8
Urban (miles),60-94,Montana,Other principal arterials,68.0
Urban (miles),60-94,Nebraska,Other principal arterials,45.5
Urban (miles),60-94,Nevada,Other principal arterials,98.8
Urban (miles),60-94,New Hampshire,Other principal arterials,87.9
Urban (miles),60-94,New Jersey,Other principal arterials,441.4
Urban (miles),60-94,New Mexico,Other principal arterials,163.1
Urban (miles),60-94,New York,Other principal arterials,675.0
Urban (miles),60-94,North Carolina,Other principal arterials,451.3
Urban (miles),60-94,North Dakota,Other principal arterials,56.5
Urban (miles),60-94,Ohio,Other principal arterials,630.2
Urban (miles),60-94,Oklahoma,Other principal arterials,213.3
Urban (miles),60-94,Oregon,Other principal arterials,235.7
Urban (miles),60-94,Pennsylvania,Other principal arterials,655.0
Urban (miles),60-94,Rhode Island,Other principal arterials,32.1
Urban (miles),60-94,South Carolina,Other principal arterials,430.7
Urban (miles),60-94,South Dakota,Other principal arterials,31.3
Urban (miles),60-94,Tennessee,Other principal arterials,613.3
Urban (miles),60-94,Texas,Other principal arterials,"1,501.5"
Urban (miles),60-94,Utah,Other principal arterials,246.2
Urban (miles),60-94,Vermont,Other principal arterials,37.3
Urban (miles),60-94,Virginia,Other principal arterials,382.2
Urban (miles),60-94,Washington,Other principal arterials,237.1
Urban (miles),60-94,West Virginia,Other principal arterials,148.6
Urban (miles),60-94,Wisconsin,Other principal arterials,262.1
Urban (miles),60-94,Wyoming,Other principal arterials,59.9
Urban (miles),60-94,Puerto Rico,Other principal arterials,7.6
Urban (miles),95-119,United States,Other principal arterials,"9,837.1"
Urban (miles),95-119,Alabama,Other principal arterials,149.4
Urban (miles),95-119,Alaska,Other principal arterials,24.7
Urban (miles),95-119,Arizona,Other principal arterials,128.3
Urban (miles),95-119,Arkansas,Other principal arterials,92.3
Urban (miles),95-119,California,Other principal arterials,581.3
Urban (miles),95-119,Colorado,Other principal arterials,195.0
Urban (miles),95-119,Connecticut,Other principal arterials,157.4
Urban (miles),95-119,Delaware,Other principal arterials,31.4
Urban (miles),95-119,District of Columbia,Other principal arterials,0.9
Urban (miles),95-119,Florida,Other principal arterials,625.7
Urban (miles),95-119,Georgia,Other principal arterials,346.4
Urban (miles),95-119,Hawaii,Other principal arterials,39.3
Urban (miles),95-119,Idaho,Other principal arterials,49.0
Urban (miles),95-119,Illinois,Other principal arterials,495.1
Urban (miles),95-119,Indiana,Other principal arterials,137.6
Urban (miles),95-119,Iowa,Other principal arterials,187.3
Urban (miles),95-119,Kansas,Other principal arterials,34.0
Urban (miles),95-119,Kentucky,Other principal arterials,105.2
Urban (miles),95-119,Louisiana,Other principal arterials,137.1
Urban (miles),95-119,Maine,Other principal arterials,14.2
Urban (miles),95-119,Maryland,Other principal arterials,127.1
Urban (miles),95-119,Massachusetts,Other principal arterials,286.8
Urban (miles),95-119,Michigan,Other principal arterials,344.4
Urban (miles),95-119,Minnesota,Other principal arterials,106.8
Urban (miles),95-119,Mississippi,Other principal arterials,162.3
Urban (miles),95-119,Missouri,Other principal arterials,147.7
Urban (miles),95-119,Montana,Other principal arterials,36.0
Urban (miles),95-119,Nebraska,Other principal arterials,38.1
Urban (miles),95-119,Nevada,Other principal arterials,55.6
Urban (miles),95-119,New Hampshire,Other principal arterials,29.7
Urban (miles),95-119,New Jersey,Other principal arterials,234.2
Urban (miles),95-119,New Mexico,Other principal arterials,105.0
Urban (miles),95-119,New York,Other principal arterials,475.6
Urban (miles),95-119,North Carolina,Other principal arterials,396.7
Urban (miles),95-119,North Dakota,Other principal arterials,34.3
Urban (miles),95-119,Ohio,Other principal arterials,404.9
Urban (miles),95-119,Oklahoma,Other principal arterials,142.7
Urban (miles),95-119,Oregon,Other principal arterials,147.8
Urban (miles),95-119,Pennsylvania,Other principal arterials,501.2
Urban (miles),95-119,Rhode Island,Other principal arterials,33.2
Urban (miles),95-119,South Carolina,Other principal arterials,232.4
Urban (miles),95-119,South Dakota,Other principal arterials,24.1
Urban (miles),95-119,Tennessee,Other principal arterials,246.7
Urban (miles),95-119,Texas,Other principal arterials,953.6
Urban (miles),95-119,Utah,Other principal arterials,117.9
Urban (miles),95-119,Vermont,Other principal arterials,20.9
Urban (miles),95-119,Virginia,Other principal arterials,279.8
Urban (miles),95-119,Washington,Other principal arterials,221.2
Urban (miles),95-119,West Virginia,Other principal arterials,80.6
Urban (miles),95-119,Wisconsin,Other principal arterials,266.9
Urban (miles),95-119,Wyoming,Other principal arterials,27.2
Urban (miles),95-119,Puerto Rico,Other principal arterials,24.0
Urban (miles),120-144,United States,Other principal arterials,"7,810.8"
Urban (miles),120-144,Alabama,Other principal arterials,78.1
Urban (miles),120-144,Alaska,Other principal arterials,17.3
Urban (miles),120-144,Arizona,Other principal arterials,119.4
Urban (miles),120-144,Arkansas,Other principal arterials,60.4
Urban (miles),120-144,California,Other principal arterials,757.8
Urban (miles),120-144,Colorado,Other principal arterials,175.4
Urban (miles),120-144,Connecticut,Other principal arterials,120.5
Urban (miles),120-144,Delaware,Other principal arterials,19.1
Urban (miles),120-144,District of Columbia,Other principal arterials,3.5
Urban (miles),120-144,Florida,Other principal arterials,328.6
Urban (miles),120-144,Georgia,Other principal arterials,176.4
Urban (miles),120-144,Hawaii,Other principal arterials,31.5
Urban (miles),120-144,Idaho,Other principal arterials,30.8
Urban (miles),120-144,Illinois,Other principal arterials,406.9
Urban (miles),120-144,Indiana,Other principal arterials,82.2
Urban (miles),120-144,Iowa,Other principal arterials,141.2
Urban (miles),120-144,Kansas,Other principal arterials,29.5
Urban (miles),120-144,Kentucky,Other principal arterials,55.2
Urban (miles),120-144,Louisiana,Other principal arterials,113.9
Urban (miles),120-144,Maine,Other principal arterials,13.0
Urban (miles),120-144,Maryland,Other principal arterials,97.8
Urban (miles),120-144,Massachusetts,Other principal arterials,274.9
Urban (miles),120-144,Michigan,Other principal arterials,273.0
Urban (miles),120-144,Minnesota,Other principal arterials,64.1
Urban (miles),120-144,Mississippi,Other principal arterials,116.5
Urban (miles),120-144,Missouri,Other principal arterials,101.4
Urban (miles),120-144,Montana,Other principal arterials,28.9
Urban (miles),120-144,Nebraska,Other principal arterials,39.9
Urban (miles),120-144,Nevada,Other principal arterials,36.3
Urban (miles),120-144,New Hampshire,Other principal arterials,21.7
Urban (miles),120-144,New Jersey,Other principal arterials,208.5
Urban (miles),120-144,New Mexico,Other principal arterials,94.3
Urban (miles),120-144,New York,Other principal arterials,372.6
Urban (miles),120-144,North Carolina,Other principal arterials,290.8
Urban (miles),120-144,North Dakota,Other principal arterials,26.9
Urban (miles),120-144,Ohio,Other principal arterials,325.4
Urban (miles),120-144,Oklahoma,Other principal arterials,98.1
Urban (miles),120-144,Oregon,Other principal arterials,111.5
Urban (miles),120-144,Pennsylvania,Other principal arterials,447.1
Urban (miles),120-144,Rhode Island,Other principal arterials,46.7
Urban (miles),120-144,South Carolina,Other principal arterials,161.6
Urban (miles),120-144,South Dakota,Other principal arterials,18.9
Urban (miles),120-144,Tennessee,Other principal arterials,164.1
Urban (miles),120-144,Texas,Other principal arterials,692.8
Urban (miles),120-144,Utah,Other principal arterials,73.8
Urban (miles),120-144,Vermont,Other principal arterials,13.9
Urban (miles),120-144,Virginia,Other principal arterials,239.0
Urban (miles),120-144,Washington,Other principal arterials,216.0
Urban (miles),120-144,West Virginia,Other principal arterials,47.6
Urban (miles),120-144,Wisconsin,Other principal arterials,287.3
Urban (miles),120-144,Wyoming,Other principal arterials,18.5
Urban (miles),120-144,Puerto Rico,Other principal arterials,40.3
Urban (miles),145-170,United States,Other principal arterials,"6,118.4"
Urban (miles),145-170,Alabama,Other principal arterials,42.2
Urban (miles),145-170,Alaska,Other principal arterials,9.7
Urban (miles),145-170,Arizona,Other principal arterials,87.0
Urban (miles),145-170,Arkansas,Other principal arterials,43.2
Urban (miles),145-170,California,Other principal arterials,859.6
Urban (miles),145-170,Colorado,Other principal arterials,123.4
Urban (miles),145-170,Connecticut,Other principal arterials,75.8
Urban (miles),145-170,Delaware,Other principal arterials,11.8
Urban (miles),145-170,District of Columbia,Other principal arterials,6.0
Urban (miles),145-170,Florida,Other principal arterials,183.4
Urban (miles),145-170,Georgia,Other principal arterials,92.1
Urban (miles),145-170,Hawaii,Other principal arterials,32.0
Urban (miles),145-170,Idaho,Other principal arterials,24.3
Urban (miles),145-170,Illinois,Other principal arterials,299.6
Urban (miles),145-170,Indiana,Other principal arterials,61.1
Urban (miles),145-170,Iowa,Other principal arterials,89.9
Urban (miles),145-170,Kansas,Other principal arterials,23.4
Urban (miles),145-170,Kentucky,Other principal arterials,29.5
Urban (miles),145-170,Louisiana,Other principal arterials,98.8
Urban (miles),145-170,Maine,Other principal arterials,11.8
Urban (miles),145-170,Maryland,Other principal arterials,77.0
Urban (miles),145-170,Massachusetts,Other principal arterials,251.3
Urban (miles),145-170,Michigan,Other principal arterials,201.6
Urban (miles),145-170,Minnesota,Other principal arterials,33.3
Urban (miles),145-170,Mississippi,Other principal arterials,85.0
Urban (miles),145-170,Missouri,Other principal arterials,77.8
Urban (miles),145-170,Montana,Other principal arterials,21.6
Urban (miles),145-170,Nebraska,Other principal arterials,32.9
Urban (miles),145-170,Nevada,Other principal arterials,30.1
Urban (miles),145-170,New Hampshire,Other principal arterials,12.4
Urban (miles),145-170,New Jersey,Other principal arterials,184.4
Urban (miles),145-170,New Mexico,Other principal arterials,74.5
Urban (miles),145-170,New York,Other principal arterials,290.8
Urban (miles),145-170,North Carolina,Other principal arterials,191.0
Urban (miles),145-170,North Dakota,Other principal arterials,18.2
Urban (miles),145-170,Ohio,Other principal arterials,244.3
Urban (miles),145-170,Oklahoma,Other principal arterials,76.1
Urban (miles),145-170,Oregon,Other principal arterials,79.1
Urban (miles),145-170,Pennsylvania,Other principal arterials,356.9
Urban (miles),145-170,Rhode Island,Other principal arterials,46.4
Urban (miles),145-170,South Carolina,Other principal arterials,101.3
Urban (miles),145-170,South Dakota,Other principal arterials,16.9
Urban (miles),145-170,Tennessee,Other principal arterials,103.9
Urban (miles),145-170,Texas,Other principal arterials,521.1
Urban (miles),145-170,Utah,Other principal arterials,45.6
Urban (miles),145-170,Vermont,Other principal arterials,8.2
Urban (miles),145-170,Virginia,Other principal arterials,186.0
Urban (miles),145-170,Washington,Other principal arterials,181.1
Urban (miles),145-170,West Virginia,Other principal arterials,31.6
Urban (miles),145-170,Wisconsin,Other principal arterials,266.8
Urban (miles),145-170,Wyoming,Other principal arterials,15.1
Urban (miles),145-170,Puerto Rico,Other principal arterials,51.5
Urban (miles),171-194,United States,Other principal arterials,"4,219.5"
Urban (miles),171-194,Alabama,Other principal arterials,23.5
Urban (miles),171-194,Alaska,Other principal arterials,6.5
Urban (miles),171-194,Arizona,Other principal arterials,61.2
Urban (miles),171-194,Arkansas,Other principal arterials,27.5
Urban (miles),171-194,California,Other principal arterials,741.3
Urban (miles),171-194,Colorado,Other principal arterials,78.0
Urban (miles),171-194,Connecticut,Other principal arterials,47.2
Urban (miles),171-194,Delaware,Other principal arterials,7.0
Urban (miles),171-194,District of Columbia,Other principal arterials,7.9
Urban (miles),171-194,Florida,Other principal arterials,96.9
Urban (miles),171-194,Georgia,Other principal arterials,51.0
Urban (miles),171-194,Hawaii,Other principal arterials,21.7
Urban (miles),171-194,Idaho,Other principal arterials,13.8
Urban (miles),171-194,Illinois,Other principal arterials,199.1
Urban (miles),171-194,Indiana,Other principal arterials,31.9
Urban (miles),171-194,Iowa,Other principal arterials,57.4
Urban (miles),171-194,Kansas,Other principal arterials,16.6
Urban (miles),171-194,Kentucky,Other principal arterials,18.5
Urban (miles),171-194,Louisiana,Other principal arterials,72.1
Urban (miles),171-194,Maine,Other principal arterials,7.8
Urban (miles),171-194,Maryland,Other principal arterials,58.5
Urban (miles),171-194,Massachusetts,Other principal arterials,181.6
Urban (miles),171-194,Michigan,Other principal arterials,135.4
Urban (miles),171-194,Minnesota,Other principal arterials,17.7
Urban (miles),171-194,Mississippi,Other principal arterials,50.2
Urban (miles),171-194,Missouri,Other principal arterials,51.3
Urban (miles),171-194,Montana,Other principal arterials,15.6
Urban (miles),171-194,Nebraska,Other principal arterials,29.2
Urban (miles),171-194,Nevada,Other principal arterials,13.6
Urban (miles),171-194,New Hampshire,Other principal arterials,5.7
Urban (miles),171-194,New Jersey,Other principal arterials,135.6
Urban (miles),171-194,New Mexico,Other principal arterials,51.1
Urban (miles),171-194,New York,Other principal arterials,202.9
Urban (miles),171-194,North Carolina,Other principal arterials,95.0
Urban (miles),171-194,North Dakota,Other principal arterials,11.7
Urban (miles),171-194,Ohio,Other principal arterials,166.3
Urban (miles),171-194,Oklahoma,Other principal arterials,46.8
Urban (miles),171-194,Oregon,Other principal arterials,52.1
Urban (miles),171-194,Pennsylvania,Other principal arterials,236.3
Urban (miles),171-194,Rhode Island,Other principal arterials,38.3
Urban (miles),171-194,South Carolina,Other principal arterials,52.5
Urban (miles),171-194,South Dakota,Other principal arterials,11.5
Urban (miles),171-194,Tennessee,Other principal arterials,63.0
Urban (miles),171-194,Texas,Other principal arterials,370.0
Urban (miles),171-194,Utah,Other principal arterials,22.9
Urban (miles),171-194,Vermont,Other principal arterials,6.8
Urban (miles),171-194,Virginia,Other principal arterials,112.2
Urban (miles),171-194,Washington,Other principal arterials,131.5
Urban (miles),171-194,West Virginia,Other principal arterials,17.1
Urban (miles),171-194,Wisconsin,Other principal arterials,192.7
Urban (miles),171-194,Wyoming,Other principal arterials,9.9
Urban (miles),171-194,Puerto Rico,Other principal arterials,47.3
Urban (miles),195-220,United States,Other principal arterials,"3,410.8"
Urban (miles),195-220,Alabama,Other principal arterials,14.8
Urban (miles),195-220,Alaska,Other principal arterials,4.7
Urban (miles),195-220,Arizona,Other principal arterials,40.2
Urban (miles),195-220,Arkansas,Other principal arterials,17.8
Urban (miles),195-220,California,Other principal arterials,696.3
Urban (miles),195-220,Colorado,Other principal arterials,60.2
Urban (miles),195-220,Connecticut,Other principal arterials,32.7
Urban (miles),195-220,Delaware,Other principal arterials,5.4
Urban (miles),195-220,District of Columbia,Other principal arterials,10.5
Urban (miles),195-220,Florida,Other principal arterials,60.3
Urban (miles),195-220,Georgia,Other principal arterials,25.3
Urban (miles),195-220,Hawaii,Other principal arterials,13.6
Urban (miles),195-220,Idaho,Other principal arterials,12.4
Urban (miles),195-220,Illinois,Other principal arterials,148.6
Urban (miles),195-220,Indiana,Other principal arterials,19.6
Urban (miles),195-220,Iowa,Other principal arterials,43.7
Urban (miles),195-220,Kansas,Other principal arterials,11.2
Urban (miles),195-220,Kentucky,Other principal arterials,11.8
Urban (miles),195-220,Louisiana,Other principal arterials,62.8
Urban (miles),195-220,Maine,Other principal arterials,5.9
Urban (miles),195-220,Maryland,Other principal arterials,54.5
Urban (miles),195-220,Massachusetts,Other principal arterials,152.7
Urban (miles),195-220,Michigan,Other principal arterials,110.0
Urban (miles),195-220,Minnesota,Other principal arterials,9.7
Urban (miles),195-220,Mississippi,Other principal arterials,38.6
Urban (miles),195-220,Missouri,Other principal arterials,39.7
Urban (miles),195-220,Montana,Other principal arterials,13.3
Urban (miles),195-220,Nebraska,Other principal arterials,28.4
Urban (miles),195-220,Nevada,Other principal arterials,11.9
