Series,Unit,Year,Value
Jet fuel consumed by Transportation,Billion BTUs,2020,"104,587"
Jet fuel consumed by Transportation,Billion BTUs,2021,"126,786"
Jet fuel consumed by Transportation,Billion BTUs,2022,"119,988"
Jet fuel consumed by Transportation,Billion BTUs,2023,"126,681"
Lubricants consumed by Transportation,Billion BTUs,1960,19
Lubricants consumed by Transportation,Billion BTUs,1970,360
Lubricants consumed by Transportation,Billion BTUs,1980,571
Lubricants consumed by Transportation,Billion BTUs,1990,585
Lubricants consumed by Transportation,Billion BTUs,2000,596
Lubricants consumed by Transportation,Billion BTUs,2010,616
Lubricants consumed by Transportation,Billion BTUs,2015,562
Lubricants consumed by Transportation,Billion BTUs,2016,437
Lubricants consumed by Transportation,Billion BTUs,2017,428
Lubricants consumed by Transportation,Billion BTUs,2018,449
Lubricants consumed by Transportation,Billion BTUs,2019,525
Lubricants consumed by Transportation,Billion BTUs,2020,473
Lubricants consumed by Transportation,Billion BTUs,2021,453
Lubricants consumed by Transportation,Billion BTUs,2022,566
Lubricants consumed by Transportation,Billion BTUs,2023,422
Motor gasoline consumed by Transportation,Billion BTUs,1960,"8,019"
Motor gasoline consumed by Transportation,Billion BTUs,1970,"11,911"
Motor gasoline consumed by Transportation,Billion BTUs,1980,"17,368"
Motor gasoline consumed by Transportation,Billion BTUs,1990,"30,191"
Motor gasoline consumed by Transportation,Billion BTUs,2000,"30,605"
Motor gasoline consumed by Transportation,Billion BTUs,2010,"33,029"
Motor gasoline consumed by Transportation,Billion BTUs,2015,"32,774"
Motor gasoline consumed by Transportation,Billion BTUs,2016,"33,944"
Motor gasoline consumed by Transportation,Billion BTUs,2017,"33,221"
Motor gasoline consumed by Transportation,Billion BTUs,2018,"32,778"
Motor gasoline consumed by Transportation,Billion BTUs,2019,"32,213"
Motor gasoline consumed by Transportation,Billion BTUs,2020,"28,453"
Motor gasoline consumed by Transportation,Billion BTUs,2021,"30,930"
Motor gasoline consumed by Transportation,Billion BTUs,2022,"30,766"
Motor gasoline consumed by Transportation,Billion BTUs,2023,"30,481"
Natural gas consumed by Transportation,Billion BTUs,1960,2
Natural gas consumed by Transportation,Billion BTUs,1970,"17,393"
Natural gas consumed by Transportation,Billion BTUs,1980,129
Natural gas consumed by Transportation,Billion BTUs,1990,"1,616"
Natural gas consumed by Transportation,Billion BTUs,2000,"7,575"
Natural gas consumed by Transportation,Billion BTUs,2010,"3,320"
Natural gas consumed by Transportation,Billion BTUs,2015,626
Natural gas consumed by Transportation,Billion BTUs,2016,454
Natural gas consumed by Transportation,Billion BTUs,2017,349
Natural gas consumed by Transportation,Billion BTUs,2018,551
Natural gas consumed by Transportation,Billion BTUs,2019,357
Natural gas consumed by Transportation,Billion BTUs,2020,382
Natural gas consumed by Transportation,Billion BTUs,2021,486
Natural gas consumed by Transportation,Billion BTUs,2022,457
Natural gas consumed by Transportation,Billion BTUs,2023,449
Propane consumed by Transportation,Billion BTUs,2010,5
Propane consumed by Transportation,Billion BTUs,2015,6
Propane consumed by Transportation,Billion BTUs,2016,7
