Origin State,Commodity,Year,Measure Names,Measure Values
Kentucky,Textiles/leather,2023,Current Value (millions of dollars),15981.861103
Kentucky,Printed prods.,2023,Current Value (millions of dollars),3497.378418
Kentucky,Precision instruments,2023,Current Value (millions of dollars),13021.112367
Kentucky,Plastics/rubber,2023,Current Value (millions of dollars),16398.715815
Kentucky,Pharmaceuticals,2023,Current Value (millions of dollars),20558.660604
Kentucky,Paper articles,2023,Current Value (millions of dollars),3475.616264
Kentucky,Other foodstuffs,2023,Current Value (millions of dollars),9222.429222
Kentucky,Other ag prods.,2023,Current Value (millions of dollars),3610.106158
Kentucky,Nonmetallic minerals,2023,Current Value (millions of dollars),194.285468
Kentucky,Nonmetal min. prods.,2023,Current Value (millions of dollars),4897.672523
Kentucky,Newsprint/paper,2023,Current Value (millions of dollars),3117.399237
Kentucky,Natural sands,2023,Current Value (millions of dollars),38.141313
Kentucky,Motorized vehicles,2023,Current Value (millions of dollars),75289.651545
Kentucky,Mixed freight,2023,Current Value (millions of dollars),25730.872933
Kentucky,Misc. mfg. prods.,2023,Current Value (millions of dollars),11934.647245
Kentucky,Milled grain prods.,2023,Current Value (millions of dollars),4938.087516
Kentucky,Metallic ores,2023,Current Value (millions of dollars),348.64524
Kentucky,Meat/seafood,2023,Current Value (millions of dollars),4156.53455
Kentucky,Machinery,2023,Current Value (millions of dollars),42868.470924
Kentucky,Logs,2023,Current Value (millions of dollars),762.966883
Kentucky,Live animals/fish,2023,Current Value (millions of dollars),5786.457855
Kentucky,Gravel,2023,Current Value (millions of dollars),806.640568
Kentucky,Gasoline,2023,Current Value (millions of dollars),15301.693525
Kentucky,Furniture,2023,Current Value (millions of dollars),4368.66292
Kentucky,Fuel oils,2023,Current Value (millions of dollars),9540.45279
Kentucky,Fertilizers,2023,Current Value (millions of dollars),199.890304
Kentucky,Electronics,2023,Current Value (millions of dollars),38525.27428
Kentucky,Crude petroleum,2023,Current Value (millions of dollars),242.00189
Kentucky,Coal-n.e.c.,2023,Current Value (millions of dollars),24727.836003
Kentucky,Coal,2023,Current Value (millions of dollars),3606.349886
Kentucky,Chemical prods.,2023,Current Value (millions of dollars),11461.847567
Kentucky,Cereal grains,2023,Current Value (millions of dollars),3992.373275
Kentucky,Building stone,2023,Current Value (millions of dollars),0.717925
Kentucky,Basic chemicals,2023,Current Value (millions of dollars),9865.597291
Kentucky,Base metals,2023,Current Value (millions of dollars),23454.481792
Kentucky,Articles-base metal,2023,Current Value (millions of dollars),10540.432775
Kentucky,Animal feed,2023,Current Value (millions of dollars),3328.991366
Kentucky,Alcoholic beverages,2023,Current Value (millions of dollars),8027.653372
Kentucky,Wood prods.,2023,Chained 2012 Value (millions of dollars),3327.426747
Kentucky,Waste/scrap,2023,Chained 2012 Value (millions of dollars),1240.330568
Kentucky,Transport equip.,2023,Chained 2012 Value (millions of dollars),1615.136013
Kentucky,Tobacco prods.,2023,Chained 2012 Value (millions of dollars),805.202709
Kentucky,Textiles/leather,2023,Chained 2012 Value (millions of dollars),12761.609525
Kentucky,Printed prods.,2023,Chained 2012 Value (millions of dollars),2543.107197
Kentucky,Precision instruments,2023,Chained 2012 Value (millions of dollars),11007.094723
Kentucky,Plastics/rubber,2023,Chained 2012 Value (millions of dollars),12460.757098
